term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq
imbecil,0.0034,misogynistic,51,67,118
deix,0.0033,misogynistic,95,690,785
absurd,0.0033,misogynistic,53,119,172
crianç,0.0033,misogynistic,63,264,327
bost,0.0032,misogynistic,51,117,168
polít,0.0031,misogynistic,56,198,254
deput,0.0031,misogynistic,50,121,171
sempr,0.0031,misogynistic,93,696,789
agor,0.003,misogynistic,95,750,845
senh,0.0029,misogynistic,53,202,255
nojent,0.0029,misogynistic,41,33,74
ladr,0.0028,misogynistic,40,44,84
precis,0.0027,misogynistic,83,637,720
jornal,0.0027,misogynistic,47,142,189
assim,0.0027,misogynistic,89,730,819
congress,0.0027,misogynistic,38,31,69
trai,0.0027,misogynistic,37,20,57
pens,0.0026,misogynistic,85,690,775
pobr,0.0026,misogynistic,41,85,126
podr,0.0026,misogynistic,37,39,76
gost,0.0026,misogynistic,117,1113,1230
mach,0.0026,misogynistic,45,132,177
mand,0.0026,misogynistic,77,581,658
muçulm,0.0025,misogynistic,35,25,60
acab,0.0025,misogynistic,76,585,661
quant,0.0025,misogynistic,54,280,334
esquerdopat,0.0025,misogynistic,34,11,45
crimin,0.0025,misogynistic,38,62,100
racist,0.0025,misogynistic,42,114,156
prend,0.0024,misogynistic,37,69,106
dest,0.0024,misogynistic,41,126,167
fals,0.0023,misogynistic,37,82,119
cuid,0.0023,misogynistic,44,180,224
pesso,0.0023,misogynistic,126,1293,1419
perd,0.0022,misogynistic,63,464,527
falt,0.0022,misogynistic,58,386,444
atac,0.0021,misogynistic,32,61,93
demôni,0.0021,misogynistic,29,16,45
louc,0.0021,misogynistic,37,121,158
terror,0.0021,misogynistic,31,42,73
real,0.0021,misogynistic,54,352,406
continu,0.002,misogynistic,43,226,269
quer,0.002,misogynistic,175,2017,2192
solt,0.002,misogynistic,39,162,201
preocup,0.002,misogynistic,35,115,150
destru,0.002,misogynistic,31,63,94
hipocris,0.002,misogynistic,29,38,67
escrot,0.002,misogynistic,39,164,203
conden,0.002,misogynistic,30,45,75
problem,0.002,misogynistic,46,268,314
part,0.002,misogynistic,59,441,500
piranh,0.002,misogynistic,35,124,159
exist,0.0019,misogynistic,55,401,456
menos,0.0019,misogynistic,50,337,387
ganh,0.0019,misogynistic,56,428,484
culp,0.0019,misogynistic,34,128,162
parec,0.0019,misogynistic,62,505,567
send,0.0019,misogynistic,44,258,302
milit,0.0018,misogynistic,37,183,220
hipócrit,0.0018,misogynistic,27,38,65
doent,0.0018,misogynistic,30,79,109
eleg,0.0018,misogynistic,26,39,65
crim,0.0018,misogynistic,36,167,203
corj,0.0018,misogynistic,26,39,65
infern,0.0018,misogynistic,36,164,200
receb,0.0017,misogynistic,38,208,246
conhec,0.0017,misogynistic,42,260,302
maldit,0.0017,misogynistic,34,166,200
coloc,0.0017,misogynistic,51,397,448
camb,0.0016,misogynistic,22,16,38
discurs,0.0016,misogynistic,28,96,124
clar,0.0016,misogynistic,34,186,220
prest,0.0016,misogynistic,29,106,135
propin,0.0016,misogynistic,21,5,26
imprens,0.0016,misogynistic,28,87,115
angol,0.0016,misogynistic,31,129,160
europ,0.0016,misogynistic,25,63,88
preconceit,0.0016,misogynistic,26,72,98
dilm,0.0016,misogynistic,27,83,110
verd,0.0016,misogynistic,30,118,148
tant,0.0016,misogynistic,47,345,392
favor,0.0016,misogynistic,41,267,308
empreg,0.0015,misogynistic,23,53,76
gret,0.0015,misogynistic,21,20,41
maior,0.0015,misogynistic,28,109,137
venezuel,0.0015,misogynistic,22,36,58
porc,0.0015,misogynistic,23,52,75
respeit,0.0015,misogynistic,38,241,279
mulherdeverdad,0.0015,misogynistic,21,27,48
grand,0.0015,misogynistic,58,527,585
imund,0.0015,misogynistic,21,19,40
mort,0.0015,misogynistic,32,170,202
trist,0.0015,misogynistic,41,299,340
cans,0.0015,misogynistic,30,143,173
aceit,0.0014,misogynistic,28,131,159
bund,0.0014,misogynistic,27,119,146
milici,0.0014,misogynistic,18,2,20
tent,0.0014,misogynistic,42,317,359
popul,0.0014,misogynistic,22,53,75
justiç,0.0014,misogynistic,26,109,135
heter,0.0014,misogynistic,23,65,88
infeliz,0.0014,misogynistic,26,101,127
drog,0.0014,misogynistic,25,100,125
ignor,0.0014,misogynistic,24,84,108
namor,0.0014,misogynistic,24,87,111
pris,0.0013,misogynistic,20,34,54
própri,0.0013,misogynistic,27,140,167
trump,0.0013,misogynistic,28,157,185
bonit,0.0013,misogynistic,41,327,368
mentir,0.0013,misogynistic,20,38,58
esquerdalh,0.0013,misogynistic,17,10,27
mimim,0.0013,misogynistic,19,35,54
manifest,0.0013,misogynistic,21,63,84
joaquinrespond,0.0013,misogynistic,19,35,54
públic,0.0013,misogynistic,25,114,139
apoi,0.0013,misogynistic,28,147,175
mesm,0.0012,misogynistic,38,313,351
carát,0.0012,misogynistic,20,67,87
cult,0.0012,misogynistic,21,72,93
mostr,0.0012,misogynistic,29,191,220
process,0.0012,misogynistic,21,78,99
jument,0.0012,misogynistic,16,11,27
masterchefbr,0.0012,misogynistic,17,27,44
lament,0.0012,misogynistic,18,38,56
ministr,0.0012,misogynistic,37,288,325
zambell,0.0012,misogynistic,18,32,50
represent,0.0012,misogynistic,21,76,97
intelig,0.0012,misogynistic,24,117,141
criat,0.0012,misogynistic,17,14,31
únic,0.0012,misogynistic,30,202,232
diab,0.0012,misogynistic,19,45,64
bast,0.0012,misogynistic,24,119,143
human,0.0012,misogynistic,28,170,198
diss,0.0012,misogynistic,57,557,614
palavr,0.0012,misogynistic,30,192,222
cretin,0.0012,misogynistic,17,23,40
babac,0.0012,misogynistic,34,244,278
pilantr,0.0012,misogynistic,18,26,44
cristã,0.0011,neutral,18,50,68
manipul,0.0011,neutral,16,30,46
sermulheré,0.0011,neutral,15,11,26
turm,0.0011,neutral,18,50,68
ideolog,0.0011,neutral,18,54,72
sujeit,0.0011,neutral,16,19,35
quadrilh,0.0011,neutral,17,30,47
pergunt,0.0011,neutral,33,259,292
horr,0.0011,neutral,23,117,140
bachelet,0.0011,neutral,14,2,16
milhã,0.0011,neutral,22,100,122
viol,0.0011,neutral,21,93,114
evangél,0.0011,neutral,15,12,27
desgr,0.0011,neutral,19,62,81
escol,0.0011,neutral,22,101,123
jamal,0.0011,neutral,20,84,104
junt,0.0011,neutral,41,363,404
acredit,0.0011,neutral,35,281,316
lembr,0.0011,neutral,33,261,294
concord,0.0011,neutral,26,167,193
asquer,0.001,neutral,13,12,25
petist,0.001,neutral,18,68,86
chei,0.001,neutral,22,118,140
terr,0.001,neutral,22,132,154
beste,0.001,neutral,14,15,29
ador,0.001,neutral,21,110,131
engan,0.001,neutral,16,45,61
frent,0.001,neutral,22,128,150
democrac,0.001,neutral,16,49,65
feit,0.001,neutral,27,188,215
apen,0.001,neutral,26,182,208
atitud,0.001,neutral,16,53,69
homofob,0.001,neutral,15,22,37
argentin,0.001,neutral,15,31,46
jesu,0.001,neutral,20,98,118
incompet,0.001,neutral,13,4,17
honest,0.001,neutral,19,86,105
desgovern,0.001,neutral,13,7,20
ilud,0.001,neutral,14,20,34
trat,0.001,neutral,22,128,150
golp,0.001,neutral,16,52,68
capit,0.001,neutral,18,72,90
revolt,0.001,neutral,15,33,48
abus,0.001,neutral,16,49,65
import,0.001,neutral,31,250,281
ditad,0.001,neutral,18,62,80
magr,0.001,neutral,18,65,83
própr,0.0009,neutral,19,102,121
pátr,0.0009,neutral,14,27,41
abort,0.0009,neutral,15,47,62
cidad,0.0009,neutral,23,155,178
morr,0.0009,neutral,38,363,401
capet,0.0009,neutral,13,20,33
guerr,0.0009,neutral,21,122,143
sociedad,0.0009,neutral,16,62,78
nunc,0.0009,neutral,22,136,158
naçã,0.0009,neutral,14,41,55
acord,0.0009,neutral,34,307,341
best,0.0009,neutral,14,37,51
reclam,0.0009,neutral,24,163,187
entend,0.0009,neutral,41,404,445
luladr,0.0009,neutral,11,3,14
serv,0.0009,neutral,16,60,76
caduc,0.0009,neutral,11,2,13
felici,0.0009,neutral,12,9,21
aparec,0.0009,neutral,20,108,128
ameaç,0.0009,neutral,14,41,55
escrev,0.0009,neutral,17,72,89
sent,0.0009,neutral,49,508,557
segu,0.0009,neutral,24,178,202
devolv,0.0009,neutral,13,23,36
text,0.0009,neutral,16,63,79
sair,0.0009,neutral,37,349,386
outr,0.0009,neutral,36,329,365
corret,0.0009,neutral,17,67,84
burc,0.0009,neutral,13,27,40
pessoal,0.0009,neutral,24,168,192
cert,0.0009,neutral,65,722,787
baix,0.0009,neutral,23,154,177
cabeç,0.0009,neutral,29,239,268
traír,0.0009,neutral,11,2,13
caus,0.0009,neutral,31,274,305
petralh,0.0008,neutral,10,6,16
rest,0.0008,neutral,19,125,144
post,0.0008,neutral,42,428,470
procur,0.0008,neutral,18,107,125
ajud,0.0008,neutral,25,212,237
personal,0.0008,neutral,13,34,47
defês,0.0008,neutral,12,24,36
hein,0.0008,neutral,20,136,156
dirig,0.0008,neutral,12,29,41
fech,0.0008,neutral,19,127,146
mandat,0.0008,neutral,10,8,18
héter,0.0008,neutral,13,49,62
carnav,0.0008,neutral,12,32,44
peit,0.0008,neutral,15,59,74
robert,0.0008,neutral,12,26,38
estud,0.0008,neutral,20,143,163
oportun,0.0008,neutral,13,45,58
argument,0.0008,neutral,15,69,84
gentalh,0.0008,neutral,11,5,16
livr,0.0008,neutral,29,249,278
doid,0.0008,neutral,19,127,146
pelud,0.0008,neutral,11,8,19
islâm,0.0008,neutral,11,13,24
lésb,0.0008,neutral,10,7,17
coit,0.0008,neutral,15,66,81
perceb,0.0008,neutral,20,139,159
monstr,0.0008,neutral,12,21,33
facist,0.0008,neutral,10,2,12
ness,0.0008,neutral,28,246,274
bandid,0.0008,neutral,11,6,17
verdad,0.0008,neutral,32,307,339
aprend,0.0008,neutral,20,132,152
homofób,0.0008,neutral,12,18,30
inform,0.0008,neutral,16,74,90
psicopat,0.0008,neutral,11,14,25
moral,0.0008,neutral,11,15,26
estupr,0.0008,neutral,13,37,50
maric,0.0008,neutral,10,7,17
program,0.0008,neutral,15,66,81
igual,0.0007,neutral,11,32,43
crápul,0.0007,neutral,8,0,8
badern,0.0007,neutral,9,3,12
acim,0.0007,neutral,13,50,63
merec,0.0007,neutral,32,314,346
carniç,0.0007,neutral,9,0,9
sobr,0.0007,neutral,48,529,577
corrupç,0.0007,neutral,12,49,61
invé,0.0007,neutral,12,45,57
simpl,0.0007,neutral,13,65,78
famíl,0.0007,neutral,20,162,182
satan,0.0007,neutral,9,8,17
desrespeit,0.0007,neutral,10,17,27
pedófil,0.0007,neutral,10,9,19
princip,0.0007,neutral,14,65,79
derrub,0.0007,neutral,12,43,55
doenç,0.0007,neutral,10,26,36
cresc,0.0007,neutral,16,106,122
arrum,0.0007,neutral,16,104,120
louç,0.0007,neutral,9,13,22
presidi,0.0007,neutral,9,10,19
fasc,0.0007,neutral,11,40,51
reproduz,0.0007,neutral,9,11,20
venc,0.0007,neutral,16,96,112
diferenç,0.0007,neutral,14,76,90
aberr,0.0007,neutral,11,35,46
social,0.0007,neutral,9,6,15
assassin,0.0007,neutral,13,50,63
inoc,0.0007,neutral,12,45,57
capach,0.0007,neutral,10,15,25
orgulh,0.0007,neutral,16,92,108
grup,0.0007,neutral,23,200,223
nasc,0.0007,neutral,13,55,68
atrapalh,0.0007,neutral,10,22,32
plant,0.0007,neutral,11,36,47
joyc,0.0007,neutral,9,9,18
repórt,0.0007,neutral,10,14,24
total,0.0007,neutral,15,86,101
coment,0.0007,neutral,26,228,254
qualqu,0.0007,neutral,27,253,280
adiant,0.0007,neutral,13,50,63
juiz,0.0007,neutral,14,72,86
politic,0.0007,neutral,11,28,39
esquec,0.0007,neutral,21,166,187
candidat,0.0007,neutral,13,65,78
incit,0.0007,neutral,10,10,20
paut,0.0007,neutral,13,62,75
fantoch,0.0007,neutral,8,0,8
parlament,0.0007,neutral,10,11,21
invest,0.0006,neutral,9,31,40
eleit,0.0006,neutral,10,29,39
phot,0.0006,neutral,7,1,8
nort,0.0006,neutral,7,4,11
ridicul,0.0006,neutral,12,60,72
atras,0.0006,neutral,11,45,56
feminaz,0.0006,neutral,8,2,10
comet,0.0006,neutral,11,46,57
gleis,0.0006,neutral,8,16,24
metad,0.0006,neutral,10,43,53
ataqu,0.0006,neutral,9,24,33
repugn,0.0006,neutral,7,2,9
imag,0.0006,neutral,14,97,111
otár,0.0006,neutral,7,2,9
escolh,0.0006,neutral,13,85,98
expuls,0.0006,neutral,9,20,29
form,0.0006,neutral,17,141,158
vermelh,0.0006,neutral,12,61,73
papel,0.0006,neutral,11,54,65
chil,0.0006,neutral,7,1,8
prag,0.0006,neutral,10,34,44
arrot,0.0006,neutral,8,2,10
incentiv,0.0006,neutral,8,5,13
apresent,0.0006,neutral,12,59,71
sistem,0.0006,neutral,11,42,53
maluc,0.0006,neutral,15,100,115
chup,0.0006,neutral,16,113,129
gran,0.0006,neutral,9,31,40
misericórd,0.0006,neutral,9,20,29
imigr,0.0006,neutral,9,29,38
troux,0.0006,neutral,14,89,103
áfric,0.0006,neutral,8,11,19
loir,0.0006,neutral,8,15,23
educ,0.0006,neutral,15,109,124
minor,0.0006,neutral,8,14,22
rapaz,0.0006,neutral,11,54,65
aprov,0.0006,neutral,10,35,45
hist,0.0006,neutral,8,18,26
cass,0.0006,neutral,8,8,16
ibop,0.0006,neutral,8,8,16
igualdad,0.0006,neutral,8,17,25
ordin,0.0006,neutral,7,0,7
carl,0.0006,neutral,12,66,78
barat,0.0006,neutral,10,38,48
jaul,0.0006,neutral,7,2,9
desej,0.0006,neutral,13,70,83
vigar,0.0006,neutral,7,3,10
dand,0.0006,neutral,19,165,184
sofr,0.0006,neutral,22,199,221
patriot,0.0006,neutral,10,28,38
conseg,0.0006,neutral,22,202,224
intern,0.0006,neutral,9,27,36
caminh,0.0006,neutral,16,123,139
grit,0.0006,neutral,17,123,140
idad,0.0006,neutral,11,47,58
torn,0.0006,neutral,13,82,95
desprez,0.0006,neutral,8,14,22
leilan,0.0006,neutral,7,1,8
ferr,0.0006,neutral,11,44,55
gast,0.0006,neutral,15,97,112
médi,0.0006,neutral,9,24,33
daquel,0.0006,neutral,12,55,67
desinform,0.0006,neutral,8,4,12
cust,0.0006,neutral,14,88,102
miser,0.0006,neutral,9,14,23
prostitut,0.0006,neutral,8,15,23
relig,0.0006,neutral,11,46,57
silvi,0.0006,neutral,7,2,9
milion,0.0005,neutral,6,9,15
pervers,0.0005,neutral,6,6,12
piroc,0.0005,neutral,8,23,31
contém,0.0005,neutral,7,7,14
haddad,0.0005,neutral,14,117,131
igrej,0.0005,neutral,11,68,79
fresc,0.0005,neutral,7,19,26
graç,0.0005,neutral,14,109,123
molequ,0.0005,neutral,7,19,26
pedr,0.0005,neutral,11,69,80
mont,0.0005,neutral,13,99,112
forabolsonar,0.0005,neutral,6,5,11
prefir,0.0005,neutral,10,62,72
espalh,0.0005,neutral,7,14,21
levy,0.0005,neutral,7,9,16
exércit,0.0005,neutral,7,7,14
raparig,0.0005,neutral,6,9,15
envolv,0.0005,neutral,8,27,35
fund,0.0005,neutral,9,48,57
gayz,0.0005,neutral,6,2,8
escór,0.0005,neutral,6,4,10
cobr,0.0005,neutral,13,93,106
lasc,0.0005,neutral,7,10,17
inútil,0.0005,neutral,8,28,36
privilégi,0.0005,neutral,8,26,34
alemanh,0.0005,neutral,7,13,20
inimig,0.0005,neutral,9,36,45
prov,0.0005,neutral,17,153,170
agend,0.0005,neutral,10,50,60
bíbl,0.0005,neutral,7,19,26
interess,0.0005,neutral,10,55,65
fracass,0.0005,neutral,8,32,40
profet,0.0005,neutral,6,5,11
assunt,0.0005,neutral,8,33,41
possu,0.0005,neutral,7,11,18
algum,0.0005,neutral,35,405,440
esqueç,0.0005,neutral,8,34,42
ninguém,0.0005,neutral,14,109,123
crist,0.0005,neutral,9,39,48
coleg,0.0005,neutral,8,31,39
consid,0.0005,neutral,6,8,14
tamb,0.0005,neutral,7,21,28
bloc,0.0005,neutral,7,20,27
comemor,0.0005,neutral,11,64,75
banc,0.0005,neutral,12,86,98
proteg,0.0005,neutral,9,38,47
risc,0.0005,neutral,8,20,28
relaç,0.0005,neutral,10,59,69
cânc,0.0005,neutral,8,23,31
construç,0.0005,neutral,7,13,20
temp,0.0005,neutral,48,564,612
útil,0.0005,neutral,7,14,21
supr,0.0005,neutral,7,20,27
cérebr,0.0005,neutral,7,20,27
dével,0.0005,neutral,6,1,7
latin,0.0005,neutral,6,10,16
gráv,0.0005,neutral,7,23,30
envergonh,0.0005,neutral,6,7,13
marid,0.0005,neutral,8,35,43
elei,0.0005,neutral,8,19,27
azul,0.0005,neutral,7,22,29
estúp,0.0005,neutral,8,20,28
feliz,0.0005,neutral,36,415,451
profes,0.0005,neutral,18,168,186
respond,0.0005,neutral,19,182,201
calhord,0.0005,neutral,6,0,6
persegu,0.0005,neutral,9,36,45
aplaud,0.0005,neutral,7,21,28
fidelix,0.0005,neutral,6,10,16
conserv,0.0005,neutral,8,26,34
decot,0.0005,neutral,6,2,8
cromoss,0.0005,neutral,6,0,6
sang,0.0005,neutral,9,51,60
miniom,0.0005,neutral,6,10,16
domin,0.0005,neutral,8,27,35
disney,0.0005,neutral,8,33,41
soub,0.0005,neutral,8,33,41
vest,0.0005,neutral,11,62,73
preç,0.0005,neutral,10,62,72
queix,0.0005,neutral,7,9,16
quest,0.0005,neutral,12,89,101
riqu,0.0005,neutral,6,5,11
saíd,0.0005,neutral,8,24,32
cair,0.0005,neutral,13,89,102
julg,0.0005,neutral,12,88,100
piad,0.0005,neutral,7,13,20
desist,0.0005,neutral,12,88,100
critic,0.0005,neutral,11,76,87
abaix,0.0005,neutral,8,28,36
síri,0.0005,neutral,6,2,8
paci,0.0005,neutral,13,92,105
projet,0.0005,neutral,14,106,120
carn,0.0005,neutral,8,35,43
desculp,0.0005,neutral,17,146,163
cínic,0.0005,neutral,6,8,14
blog,0.0005,neutral,8,22,30
coronel,0.0005,neutral,7,12,19
forç,0.0005,neutral,23,226,249
camp,0.0005,neutral,10,57,67
caind,0.0005,neutral,7,20,27
heim,0.0005,neutral,6,8,14
muit,0.0005,neutral,37,426,463
políci,0.0005,neutral,9,49,58
engraç,0.0005,neutral,15,131,146
feminist,0.0005,neutral,6,7,13
pret,0.0005,neutral,18,158,176
doutrin,0.0005,neutral,8,20,28
azed,0.0005,neutral,7,6,13
invers,0.0004,neutral,5,15,20
enquant,0.0004,neutral,11,90,101
squad,0.0004,neutral,5,9,14
chav,0.0004,neutral,6,17,23
responsabil,0.0004,neutral,4,1,5
perfum,0.0004,neutral,6,16,22
roubalh,0.0004,neutral,5,14,19
horror,0.0004,neutral,5,11,16
cint,0.0004,neutral,5,15,20
brut,0.0004,neutral,5,7,12
ensin,0.0004,neutral,10,66,76
mereç,0.0004,neutral,6,23,29
protest,0.0004,neutral,9,62,71
propósit,0.0004,neutral,5,14,19
paté,0.0004,neutral,6,12,18
mariell,0.0004,neutral,5,9,14
desequilibr,0.0004,neutral,5,3,8
engol,0.0004,neutral,7,30,37
chef,0.0004,neutral,7,41,48
cris,0.0004,neutral,9,57,66
pedofil,0.0004,neutral,5,8,13
próx,0.0004,neutral,14,131,145
banan,0.0004,neutral,5,11,16
descar,0.0004,neutral,5,7,12
troc,0.0004,neutral,13,108,121
nenhum,0.0004,neutral,27,301,328
entr,0.0004,neutral,14,132,146
dentr,0.0004,neutral,18,181,199
invas,0.0004,neutral,6,21,27
típic,0.0004,neutral,6,15,21
quis,0.0004,neutral,14,135,149
maldad,0.0004,neutral,5,14,19
serp,0.0004,neutral,4,1,5
fabric,0.0004,neutral,5,9,14
amazôn,0.0004,neutral,7,41,48
injust,0.0004,neutral,6,24,30
barbar,0.0004,neutral,5,1,6
revel,0.0004,neutral,6,25,31
perfil,0.0004,neutral,11,82,93
tortur,0.0004,neutral,5,14,19
pers,0.0004,neutral,5,5,10
independ,0.0004,neutral,9,56,65
vári,0.0004,neutral,9,68,77
fiel,0.0004,neutral,6,12,18
madur,0.0004,neutral,6,14,20
queim,0.0004,neutral,7,37,44
sint,0.0004,neutral,12,101,113
escut,0.0004,neutral,10,83,93
democrá,0.0004,neutral,6,21,27
fantasi,0.0004,neutral,5,2,7
assedi,0.0004,neutral,5,12,17
virgem,0.0004,neutral,6,13,19
garant,0.0004,neutral,8,42,50
celebr,0.0004,neutral,5,9,14
coméd,0.0004,neutral,5,13,18
assist,0.0004,neutral,22,242,264
revoluç,0.0004,neutral,5,12,17
saiu,0.0004,neutral,10,78,88
másc,0.0004,neutral,5,6,11
garr,0.0004,neutral,5,14,19
preg,0.0004,neutral,6,12,18
branquel,0.0004,neutral,5,11,16
tremend,0.0004,neutral,5,10,15
urgent,0.0004,neutral,6,16,22
adult,0.0004,neutral,6,22,28
matér,0.0004,neutral,8,51,59
desesper,0.0004,neutral,9,60,69
desempreg,0.0004,neutral,7,24,31
islam,0.0004,neutral,5,9,14
irrit,0.0004,neutral,7,32,39
sinistr,0.0004,neutral,5,10,15
isil,0.0004,neutral,5,11,16
facebook,0.0004,neutral,8,49,57
parasit,0.0004,neutral,5,5,10
repúbl,0.0004,neutral,8,51,59
profund,0.0004,neutral,6,14,20
rebeld,0.0004,neutral,5,2,7
incompat,0.0004,neutral,4,1,5
propagand,0.0004,neutral,6,26,32
cachorr,0.0004,neutral,13,118,131
mass,0.0004,neutral,10,71,81
porém,0.0004,neutral,11,81,92
melhor,0.0004,neutral,76,972,1048
sufici,0.0004,neutral,7,40,47
picaret,0.0004,neutral,5,4,9
resum,0.0004,neutral,7,42,49
consequ,0.0004,neutral,6,17,23
afund,0.0004,neutral,5,5,10
categor,0.0004,neutral,6,15,21
soluç,0.0004,neutral,6,28,34
roup,0.0004,neutral,16,155,171
casal,0.0004,neutral,12,107,119
ladra,0.0004,neutral,5,2,7
suport,0.0004,neutral,7,36,43
emis,0.0004,neutral,5,2,7
soci,0.0004,neutral,6,17,23
insinu,0.0004,neutral,5,0,5
nest,0.0004,neutral,11,94,105
hábit,0.0004,neutral,5,5,10
espírit,0.0004,neutral,6,15,21
dram,0.0004,neutral,6,22,28
vend,0.0004,neutral,28,311,339
respe,0.0004,neutral,8,38,46
abutr,0.0004,neutral,5,0,5
fácil,0.0004,neutral,15,142,157
aposent,0.0004,neutral,5,12,17
salári,0.0004,neutral,8,47,55
cadel,0.0004,neutral,6,17,23
poli,0.0004,neutral,6,14,20
homossexu,0.0004,neutral,5,1,6
silênci,0.0004,neutral,6,18,24
corn,0.0004,neutral,9,69,78
pinic,0.0004,neutral,4,1,5
funcion,0.0004,neutral,8,39,47
espert,0.0004,neutral,6,26,32
playboy,0.0004,neutral,5,8,13
capac,0.0004,neutral,7,37,44
orgulhoheter,0.0004,neutral,5,3,8
debat,0.0004,neutral,6,29,35
analfabet,0.0004,neutral,5,10,15
acostum,0.0004,neutral,5,11,16
motiv,0.0004,neutral,11,89,100
feminin,0.0004,neutral,11,95,106
entrev,0.0004,neutral,10,75,85
portug,0.0004,neutral,11,85,96
agarr,0.0004,neutral,5,7,12
econom,0.0004,neutral,8,46,54
jair,0.0004,neutral,9,67,76
rein,0.0004,neutral,5,12,17
cabelud,0.0004,neutral,5,9,14
feminazil,0.0004,neutral,5,1,6
desenh,0.0004,neutral,8,50,58
dificil,0.0004,neutral,6,21,27
refém,0.0004,neutral,5,6,11
ordinár,0.0004,neutral,5,6,11
siti,0.0004,neutral,5,2,7
compar,0.0004,neutral,8,39,47
magrel,0.0004,neutral,5,9,14
larg,0.0004,neutral,9,52,61
financi,0.0004,neutral,5,6,11
merc,0.0004,neutral,7,35,42
mamat,0.0004,neutral,5,15,20
agradec,0.0004,neutral,8,53,61
comum,0.0004,neutral,5,14,19
eutanás,0.0004,neutral,5,11,16
palhaç,0.0004,neutral,7,30,37
biscat,0.0004,neutral,5,1,6
possível,0.0004,neutral,14,128,142
parabém,0.0004,neutral,43,533,576
esper,0.0004,neutral,34,401,435
franç,0.0004,neutral,5,11,16
étic,0.0004,neutral,6,17,23
brux,0.0004,neutral,5,12,17
surr,0.0004,neutral,7,25,32
hitl,0.0004,neutral,7,29,36
otari,0.0004,neutral,6,16,22
esperanç,0.0004,neutral,8,54,62
prejudic,0.0004,neutral,6,21,27
assassinat,0.0004,neutral,6,13,19
complex,0.0004,neutral,5,9,14
úter,0.0004,neutral,6,12,18
chilen,0.0004,neutral,5,6,11
figur,0.0004,neutral,7,32,39
termin,0.0004,neutral,10,79,89
segur,0.0004,neutral,10,78,88
limit,0.0004,neutral,7,32,39
arranj,0.0004,neutral,6,15,21
cort,0.0004,neutral,19,189,208
impost,0.0004,neutral,8,54,62
invej,0.0004,neutral,12,94,106
assum,0.0004,neutral,7,40,47
desvi,0.0004,neutral,6,15,21
sustent,0.0004,neutral,6,24,30
propag,0.0004,neutral,6,12,18
heterofob,0.0004,neutral,5,1,6
mérit,0.0004,neutral,5,11,16
dign,0.0004,neutral,8,53,61
além,0.0004,neutral,14,135,149
march,0.0004,neutral,6,14,20
tret,0.0003,neutral,5,30,35
delinqu,0.0003,neutral,3,5,8
psol,0.0003,neutral,5,19,24
ateu,0.0003,neutral,4,9,13
panel,0.0003,neutral,5,22,27
crédit,0.0003,neutral,5,28,33
bebê,0.0003,neutral,5,30,35
cont,0.0003,neutral,40,500,540
liber,0.0003,neutral,6,34,40
pênil,0.0003,neutral,4,2,6
facil,0.0003,neutral,5,20,25
demon,0.0003,neutral,4,8,12
explor,0.0003,neutral,4,3,7
polic,0.0003,neutral,5,27,32
xand,0.0003,neutral,3,4,7
caix,0.0003,neutral,7,55,62
vand,0.0003,neutral,4,3,7
