text,label,categoria_id,categoria_nome,fonte,anotador,votos_misoginia_told
mano oq as sulistas tem de gata elas tem de mongolóide,1,,,ToLD-BR,,2
"E ai safada punheteira? Já lavou o grelo hoje sem fazer birra? Batedora de siririca. Army? Mas é nunca, Army respeita os meninos , não usa eles como objeto sexual não sua vagabunda punheteira. Shipper tem é que levar chibatada no lombo pra aprender. sem vergonha",1,,,ToLD-BR,,3
torava todas essas japinha,1,,,ToLD-BR,,2
ela quer que puxe o cabelo pede tapa na bunda totalmente selvagem eu adoro essa puta🎶,1,,,ToLD-BR,,2
"@user petista odeia mulher bomita, inteligente e honesta.
se for rica então, essas jornalistas  invejosas do pt se descabelam",1,,,ToLD-BR,,2
@user essa ficou arrombada,1,,,ToLD-BR,,2
vadia do boquete 🌚,1,,,ToLD-BR,,2
rt @user se as dominicanas perderem 茅 s贸 pq ela se desconcentram tirando o shortinho do cu,1,,,ToLD-BR,,2
"@user ""mulher é lixo sim vai tomar no cu""",1,,,ToLD-BR,,2
@user putinha goza litros,1,,,ToLD-BR,,2
eu marquei de encontrar o fred e a vagabunda se passou e só vai acordar às 20h eu vo mata,1,,,ToLD-BR,,2
o único momento em que eu me permito odiar mulheres,1,,,ToLD-BR,,3
rt @user erro do homem? — desprezar a mina responsa e se apaixonar na piranha https://t.co/kkmfgdytoo,1,,,ToLD-BR,,2
"Coe seus putao , 🍁😈 Maior carinha de santo , fiz vira putinha na cama 🍁 @user @user @user @user @user @user @user @user @user https://t.co/rgAlXeIM6q",1,,,ToLD-BR,,2
"@user Whindersson merece se foder msm. Mlk deixa a mulher sair por ai se esfregando em outros caras e dps fica chateado por ser chamado de corno. Namorar feminista n d谩 bom fica a dica, ja cometi esse erro 3 vezes e smp deu merda.",1,,,ToLD-BR,,2
putinha aguenta 3,1,,,ToLD-BR,,3
mete com força e com talento estou ofegante e vc percebendo bate maltrata essa puta safada quero jatada de leite na cara,1,,,ToLD-BR,,2
"rt @user piranha nao muda sempre vai pisca bct pra uma glock na cintura 
#vemtranquilodia10",1,,,ToLD-BR,,2
putinha da surra de priquito,1,,,ToLD-BR,,2
"rt @user sua puta, putinha",1,,,ToLD-BR,,2
eu so quero que o mundo se acabe com várias piranha no quarto fudendo,1,,,ToLD-BR,,3
@user putinha dois amantes,1,,,ToLD-BR,,2
tu vai fude no céu piranha,1,,,ToLD-BR,,2
@user se esconde ai por foto de japa gay sua putinha,1,,,ToLD-BR,,2
"A advogada Fl谩via Ferronato foi chamada de puta pelo presidente nacional da OAB, Felipe Santa Cruz!
* Isso pode n茫o 茅 feministas, m铆dia raivosa e OAB? Todos caladinhos! #STFVergonhaNacional https://t.co/0ZrP3wCyoL",1,,,ToLD-BR,,2
putinha da ppk de mel 🤪,1,,,ToLD-BR,,2
aposto que essa vaca não vai me pagar hoje.,1,,,ToLD-BR,,2
rt @user a putinha da galera https://t.co/ygvefruwv8,1,,,ToLD-BR,,2
ela é puta mais também tem sentimentos 🤣,1,,,ToLD-BR,,3
"@user muito bom!!
o maconheiro putinha de traficante devem tá espumando de raiva!!",1,,,ToLD-BR,,2
@user vai a merda piranha grávida,1,,,ToLD-BR,,3
que piranha gostosa😍,1,,,ToLD-BR,,2
@user traduzindo= piranha/ galinha,1,,,ToLD-BR,,2
putinha da dupla penetração kkkkkkkkk,1,,,ToLD-BR,,2
essa vee é uma tremenda vaca #orangeisthenewblack,1,,,ToLD-BR,,2
"o inferno deve ser eu fazer compras com a minha veia
pqp mulher enrolada do caralho tnc",1,,,ToLD-BR,,2
putinha do capô de fusca,1,,,ToLD-BR,,3
"putinha do 69
maigente do cer",1,,,ToLD-BR,,3
"essa vaca não merece nada do que ele fez por ela. merece um lixo igual a ela, que faça oq ela fez com ele, sem noção!!",1,,,ToLD-BR,,2
putinha dois amantes https://t.co/mbvaul5j0v,1,,,ToLD-BR,,2
"Minha vontade de comer essa piranha na porrada desde 2016 não sumiu e parece que até hoje ela tá DOIDA pra isso acontecer... Deus segura muito minha mão, papo reto 😡😡😡",1,,,ToLD-BR,,2
rt @user sua vagabunda https://t.co/dgv70nnzpx,1,,,ToLD-BR,,2
rt @user eu que sabotei o copo dessa piranha botei uma bala boa,1,,,ToLD-BR,,2
"@user @user calma, putinha dois amantes.",1,,,ToLD-BR,,2
penah de você gata kkkkk bai dar o cu que passa,1,,,ToLD-BR,,2
@user @user me chama na dm que te faço de minha putinha,1,,,ToLD-BR,,2
@user putinha das pirocas kkkkkkk,1,,,ToLD-BR,,2
"@user @user @user Fala um clube que corrompia tudo e todos, árbitros incluídos com putas, senhoras do sexo, isso mesmo... 😂😂😂",1,,,ToLD-BR,,2
"O foda é essas mina de 16 a 17 que não se valoriza, acha que é bonito ficar dando pra vários, vai nessa bobinha quando você tiver com seus 22 25, ninguém vai querer assumir vcs pela fama que vocês tem no lugar aonde mora, msm que vcs sejam solteiras vamos se valorizar vcs ainda é",1,,,ToLD-BR,,3
perderam o show da puta ontem em,1,,,ToLD-BR,,2
"rt @user o cara é uma máquina de meter a real em p*ranha

fica bem meu puto https://t.co/iencicn6se",1,,,ToLD-BR,,2
@user bebe mais piranha,1,,,ToLD-BR,,2
rt @user mulher faz igual e pior vsf kkkkkkk https://t.co/sjfbpa6kv9,1,,,ToLD-BR,,2
@user fim da vagabunda,1,,,ToLD-BR,,2
putinha da cavalgada,1,,,ToLD-BR,,2
"rt @user as piranha trepa más a glock não 🎶🎶🎵
#vemtranquilodia10",1,,,ToLD-BR,,2
@user putinha da cavalgada kkkkkkkkkkkkkkkkkkkk misericórdia,1,,,ToLD-BR,,2
"se fosse mulher feia tava tudo certo, mulher bonita mexe com meu coração.",1,,,ToLD-BR,,2
@user vou matar aquela piranha macumbeira.,1,,,ToLD-BR,,2
tem umas 3 meninas na minha sala q parece atriz pornô. pqp kkk,1,,,ToLD-BR,,2
putinha do boquete 😋,1,,,ToLD-BR,,3
"se curti drogas, vamos transar e cheirar junto? sua buceta = 2 pinos — ma va pro diabo https://t.co/owlqkoeora",1,,,ToLD-BR,,3
"bigodin traiçoeiro que chama atenção de puta, ela já sem calcinha, cheia de whisky na cuca, vou levar ela pro beco e pau na filha da puta",1,,,ToLD-BR,,2
todo o dia lembrando que eu sou só mais um reservatório de porra,1,,,ToLD-BR,,2
@user @user @user @user @user piranha #mpn #uniters #nowunited,1,,,ToLD-BR,,2
rt @user @user @user que mulherzinha nojenta. nem dou play.,1,,,ToLD-BR,,3
"@user é aquele ditado 
piranha não sente frio nas pernas",1,,,ToLD-BR,,2
rt @user juanfran cansou de ser a putinha do madrid e vai vir pra sp ser a putinha da capital.,1,,,ToLD-BR,,2
@user @user Mas a vaca comunista é muito engraçada hein? Não não! Não posso te chamar de vaca. Em pais socialista não tem carne pro povo! Então fica de lixo socialista mesmo. Bom é governo sanguinário que passa pano pra 70 mil assassinatos. Se acontecer algo liga pra PM opressora sua imunda!,1,,,ToLD-BR,,2
"apanhar a puta com melancia, que sonho",1,,,ToLD-BR,,3
"@user natura homem?? isso é homem fobia, cadê as feminazi pra gritar ??? e as biba???",1,,,ToLD-BR,,3
"@user Coe cr, sei que não tenho nada haver cm sua vida, mas para de dar Ibope, nego gosta disso, quanto mais tu render assunto, mas elas vão tá achando que tu tá se importando e mais vao falar, manda essas porra procurar uma calcinha pra lavar, vive sua vida cr, você merece .",1,,,ToLD-BR,,3
rt @user barbudo metendo na putinha https://t.co/ozmukxoa5m,1,,,ToLD-BR,,3
rt @user putinha do rival https://t.co/afoublztln,1,,,ToLD-BR,,2
rt @user parsa o feminismo q me perdoe mas eu queria só 3m no braço c essa mina zoada do crlh vsf falsa desgraçada,1,,,ToLD-BR,,2
putinha da surra de priquito kkkkkkkkkkk,1,,,ToLD-BR,,2
rt @user mc gw- 4:20 ela fuma makonha 4:30 ela senta no pau https://t.co/lhvhkjvpkl,1,,,ToLD-BR,,2
"me hipnotiza quando joga a bunda 
eita porra eu viajo na vagabunda",1,,,ToLD-BR,,3
a piranha da claro tá me irritando já🤬🤬😠,1,,,ToLD-BR,,2
quer ficar magra e bela? enfie o dedo na goela — vai dá meia hora de cú vai https://t.co/fmj3mkvxdc,1,,,ToLD-BR,,2
tão duro rezando pra chover vai toma no cu pra lá em filho das puta hoje e só puta acima do peso 😂😂😂,1,,,ToLD-BR,,3
putinha do rebolado 🤪,1,,,ToLD-BR,,2
putinha do fogo insaciável kkkkkkkkk pqp,1,,,ToLD-BR,,2
"rt @user si eu pego essas menina eu dou tanta ripada mano, vai ficar feia para de fofoca tmnc",1,,,ToLD-BR,,2
"essa menina é muito biscoiteira é sempre aparece ela pra mim, tomar no cu sô foda se minha filha",1,,,ToLD-BR,,2
"@user calou , puta",1,,,ToLD-BR,,2
"onde talarico quer fala de talaricagem, ond maconheiro se acha bandido, onde homofóbico come viado, onde piranha briga por homem dos outros, onde você faz A e o povo fala o abecedário todo, onde um tenta ser melhor q o outro sendo q ninguém é melhor q ninguém!!!!!!!!!!!!!!!!!!!!! https://t.co/BlS7H57uO5",1,,,ToLD-BR,,2
@user j谩 parou para pensar que at茅 puta ganha melhor que a gente?,1,,,ToLD-BR,,2
rala rala piranha,1,,,ToLD-BR,,2
@user @user putinha aguenta 3,1,,,ToLD-BR,,2
@user putinha da dupla penetração...,1,,,ToLD-BR,,2
@user vem aqui putinha https://t.co/6hthcojoit,1,,,ToLD-BR,,3
"@user perdi
maquiagem é coisa de puta",1,,,ToLD-BR,,2
"Triste por ter motivado tanto ele, mas n sabíamos a vagabunda que estava se relacionando. Meu amigo merece muito mais! Triste por ele ter criado confiança em alguém que n presta, e agora nunca vai confiar em uma MULHER de verdade por causa dessa menina que não quer nada c a vida",1,,,ToLD-BR,,2
pq q essa vagabunda tá rindo assim? #voleinaglobo,1,,,ToLD-BR,,2
rt @user vagas abertas para as putinhas &gt;&gt;&gt;&gt;fav e rt&lt;&lt;&lt;&lt; para entrar estamos aonde você menos esperar comenta #putinha negah https:…,1,,,ToLD-BR,,2
"essa biscate vadia q saiu do mesmo lugar q eu da minha mãe é um lixo puta merda, nao sei pq essa vagabunda nao morre logo",1,,,ToLD-BR,,2
@user pau nas vadias vermelhas!,1,,,ToLD-BR,,2
rt @user [3/8 12:35] : se ela n茫o fosse t茫o feia e vc t茫o bonita eu ia dizer que s茫o parecidas,1,,,ToLD-BR,,2
vai fode piranha vai me dá de ladinhoooo https://t.co/0je5zon15z,1,,,ToLD-BR,,3
rt @user hj em dia as muie ta tudo virando puta ai nos nao pode postar uma ft ousada que nos é tmb kk vsf,1,,,ToLD-BR,,3
rt @user mais de boa que pai de menina feia,1,,,ToLD-BR,,2
"acho tão feio mulher q surta por qualquer coisa, que sai pros lugares e fica emburrada atoa🤦🏻‍♀️",1,,,ToLD-BR,,3
"ela bebe fuma, bebe fuma, pia papagaio traz as vagabunda",1,,,ToLD-BR,,2
@user putinha aguenta 3 😜,1,,,ToLD-BR,,2
"rt @user ser chorona e a pior coisa q existe 
eu fico chateada e meu olho enche de lágrima na hora",0,,,ToLD-BR,,0
misericórdia alguém faz uma fextinha,0,,,ToLD-BR,,0
@user kkkkkkkkkkkk pqp eu ai,0,,,ToLD-BR,,0
"tudo q eu quero hoje, 茅 ir pra casa !",0,,,ToLD-BR,,0
"Baseado em reportagem decorrente de arquivos hackeados por estelionatário, publicada em veículo de imprensa marron, que hoje, não detém mais credibilidade alguma. Isso é desespero, despreparo e abuso de autoridade. 🇧🇷 #NasRuasContraSTF",0,,,ToLD-BR,,0
mano eu to super doente caralho,0,,,ToLD-BR,,0
"ai, que tédio 😒
vou assistir alguma coisa",0,,,ToLD-BR,,0
estou com uma vontade de comer um doce que pqp,0,,,ToLD-BR,,0
vai toma no cu twitter tive q fazer outro,0,,,ToLD-BR,,0
@user pode dois? da tela bloqueada e da desbloqueada. https://t.co/rnuo9l82k9,0,,,ToLD-BR,,0
ae caralho partiu toquio,0,,,ToLD-BR,,0
@user kris e loes princesas ❤️ o resto é caçamba de lixo,0,,,ToLD-BR,,0
"agora nãonpode mais denunciar um crime, porque senão a gente está ""celebrando ele""",0,,,ToLD-BR,,0
"@user @user Eu sou responsável pelo o que eu escrevo, não pelo o que você entende! Em momento algum na postagem eu citei que usufruíria da promoção hoje.",0,,,ToLD-BR,,0
rt @user gosto de irritar o menino q'eugosto pq ele bravo é fica ainda +gostoso https://t.co/2wwk8nywst,0,,,ToLD-BR,,0
o pato tem toc 😂 parem de colocar lixo aqui! https://t.co/i3b6xbaxw1,0,,,ToLD-BR,,0
deu certo galera,0,,,ToLD-BR,,0
"@user fora ‼‼

#deltannapgr",0,,,ToLD-BR,,0
vamo cara vamoo pqp meu cora莽茫o,0,,,ToLD-BR,,0
rt @user ser o mais feio e chato em todos os seus grupos de amigos é essencial https://t.co/vhpsgrzho9,0,,,ToLD-BR,,0
quando vcs vao parar com gif de gretchen mano???,0,,,ToLD-BR,,0
fome da porra bicho .,0,,,ToLD-BR,,0
"""Agora falando de mim sou 
um amante do rap,
que sonha aumentar
a vasquia e dominar
por completo
Marco de canaveses no
 mapa objetivo completo 
4630 mano just respect""",0,,,ToLD-BR,,0
no começo estava uma merda e no final parecia que estava no começo,0,,,ToLD-BR,,0
rt @user cad锚 a boa de hj nesse arax谩,0,,,ToLD-BR,,0
"Eu não conversei com nenhuma delas. Mas imagina o tanto de material que eu teria com inspiração nesses personagens.

Taí, o que falta pra minha criatividade é me livrar dessa vergonha de falar com quem ainda não é meu amigo.",0,,,ToLD-BR,,0
"tem que chegar com estilo, n茫o 茅 mesmo?",0,,,ToLD-BR,,0
"Hoje, os Devotos se apresentam no Sesc 24 de Maio e você pode escutá-los ao vivo na nossa transmissão sonora! Sintonize a partir das 21h: https://t.co/zR8FLn8eRl https://t.co/P4lDCbrBms",0,,,ToLD-BR,,0
"rt @user mais é exatamente quando a gente está cansado,o coração distrai então a sorte vem 💭",0,,,ToLD-BR,,0
"@user abraços espaciais.... puffff!!! só se foi por mandar a ciencia pro espaço, no sentido brasileiro...",0,,,ToLD-BR,,0
"rt @user odeio gente com mania de grandeza, que tudo dela 茅 melhor e blablabla tnc no final vai todo mundo pro mesmo buraco",0,,,ToLD-BR,,0
iala kkkkkkkkkkkkkkkk,0,,,ToLD-BR,,0
@user ja te disse o quão importante vc é pra mim ??,0,,,ToLD-BR,,0
@user queiroz vai ser o ator coadjuvante 🍊🤡🤮🤣,0,,,ToLD-BR,,0
"rt @user alguém: a 
 
eu https://t.co/1yus4uwkpm",0,,,ToLD-BR,,0
"não vejo a hora da turnê do racionais chega aqui no es, vou sozinho nessa porra fdc, mas tenho que ir",0,,,ToLD-BR,,0
"A Reforma da Previdência do governo foi aprovada em primeiro turno na Camara, mas a luta contra os desmontes dos nossos direitos continua! Confira ponto a ponto o que conseguimos ajudar a barrar #MaisJusto https://t.co/VrWqR1sNNf",0,,,ToLD-BR,,0
@user nem sei o que tá acontecendo...,0,,,ToLD-BR,,0
o boy disse que vai me dar mais só acredito vendo 🙄,0,,,ToLD-BR,,0
pqp to triste que vídeo lindo,0,,,ToLD-BR,,0
rt @user não consigo perceber quele pessoal que fica a noite inteira a ver os outros a andar https://t.co/tjc3fhyyyc,0,,,ToLD-BR,,0
só role saudável,0,,,ToLD-BR,,0
a recuperação de português..,0,,,ToLD-BR,,0
pqp perdi o jogo de vôlei hoje,0,,,ToLD-BR,,0
"Vai achando que amigo é aquele que tá cntg só quando vc tá mal, amigo tb é aquele que te vê feliz e n te inveja. Difícil dms encontrar amigos hoje em dia, que compartilha da sua felicidade sem maldade alguma.",0,,,ToLD-BR,,0
@user migu do céu aconteceu a mesma coisa comigo literalmente 5 minutos depois de sair da oficina pqp,0,,,ToLD-BR,,0
"ai, quanta gente chata nessa internet, pqp",0,,,ToLD-BR,,0
"SDV-DIREITA UNIDA
@user
@user
@user
@user
@user
 @user
@user
@user 
@user 
@user
@user 
@user 
@user 
@user
@user 
@user 
@user
@user
@user",0,,,ToLD-BR,,0
"@user Cara, somos humanos. Erramos. Não estou aqui falando que o Celbitt estava certo, ele foi escroto sim. Mas a partir do momento que ele procurou assistência psicológica e viu o quanto era tóxico, e esta buscando melhorar isso, é uma vitória, se todas as pessoas do mundo fizessem +",0,,,ToLD-BR,,0
"fui ouvir drag me down, chorei 
           
      saudades",0,,,ToLD-BR,,0
ansiosa por esse dia 🙌🏽🙌🏽,0,,,ToLD-BR,,0
"mano quanto tempo vai demorar pra vcs perceberem q a vida dos outros NÃO é da conta de vcs? o namoro, a amizade, oq veste, oq come, quem beija ou deixa de beijar, se transa ou não, se ta gorda ou magra... TOMEM CONTA DA VIDA DE VCS!!!",0,,,ToLD-BR,,0
rt @user fazendo meu papel de bom amigo marcando keylla em 300 memes ❤️,0,,,ToLD-BR,,0
rt @user essa doida me deixa todo bobo pqp kk,0,,,ToLD-BR,,0
"Quem aí acha que tá na hora de voltarmos às ruas? O povo não pode tolerar o STF literalmente fazendo o que bem entendem e ficar de braços cruzados. Eles são nossos funcionários. O povo não pede, o povo decide!#STFVergonhaNacional https://t.co/B5Zp2T4wmP",0,,,ToLD-BR,,0
@user parabéns deus abençoe.,0,,,ToLD-BR,,0
cortei a unha e agora estou escrevendo tudo errado. como faz!? 馃う馃徎鈥嶁檪锔�,0,,,ToLD-BR,,0
"to com vontade de socar a mariana, ela fica com pensamento negativo pqp ja falei q vai dar td certo p hj saco",0,,,ToLD-BR,,0
Quem tem boca fala o que quer. Eu mostro os erros antes de levar o gol. Antes das derrotas. O time joga melhor. Mas o professor ainda não sabe escolher e nem substituir,0,,,ToLD-BR,,0
"@user pois diga, vc nao sabia q na paraiba tem residencia? kkkkkkkkk",0,,,ToLD-BR,,0
"eu não concordo que fiquem postando a foto do meu irmão em rede social, porra...",0,,,ToLD-BR,,0
"@user Que nome de um time seu time um dia mas o que parte de mim que me ama BTS

puta que pariu manoKKKKKKKK olha mas quase acertou o nome do Jimin",0,,,ToLD-BR,,0
quem que faz isso meu pelo amor de deusssss eu odeio a internet,0,,,ToLD-BR,,0
"""tu sabe a diferença de ser homossexual e ser gay/bicha?"" 
dessa vez a minha mãe chegou no auge",0,,,ToLD-BR,,0
@user quando eu chegar em petrópolis tenho serviço pá tu,0,,,ToLD-BR,,0
minha vontade agora é tacar essa merda desse computador lá na puta que pariu,0,,,ToLD-BR,,0
é muito bom rever os amigos do ensino medio 🥰,0,,,ToLD-BR,,0
"na dúvida vai as duas msm, estou feio nas duas kkk sabadou 🤑😅😏 https://t.co/8evnpyzzjf",0,,,ToLD-BR,,0
"@user @user @user @user Relembrando que quem partiu para o insulto primeiro foi a senhora, chamando-nos de hist茅ricas e pat茅ticas. E h谩 v谩rios estudos e estat铆sticas,  茅 s贸 procurar. Se n茫o aceita o que eu postei e insiste em pedir para os outros fazerem a pesquisa por si, o problema 茅 s贸 seu mesmo.",0,,,ToLD-BR,,0
qual teu maior medo? — perder quem eu amo e ficar sozinha https://t.co/9ltqqmhxhy,0,,,ToLD-BR,,0
ok vou tatuar a bunda linda do meu namorado,0,,,ToLD-BR,,0
sá pinto expulso: autoridade nacional de aviação civil vai consultar o var,0,,,ToLD-BR,,0
@user uma dica droga: nao se entupa de serie.,0,,,ToLD-BR,,0
rt @user kkkkkk eu quero i quero mt https://t.co/gn6g2r4pl3,0,,,ToLD-BR,,0
rt @user não manda indireta não: manda cerveja.,0,,,ToLD-BR,,0
"pq só o pior fica , tnc",0,,,ToLD-BR,,0
"eu não tenho um guarda chuva, pqp",0,,,ToLD-BR,,0
claro q se a foto tiver merda eu tenho q dar uma ajeitada,0,,,ToLD-BR,,0
@user a lava jato estava chegando perto demais....,0,,,ToLD-BR,,0
rt @user velozes e furiosos começa meio vingadores e termina meio moana,0,,,ToLD-BR,,0
#globonews infelizmente é a única opção que trata de política. pena que seja tão parcial.,0,,,ToLD-BR,,0
e só me fodo,0,,,ToLD-BR,,0
rt @user tem mais de 1 mês que tomo remédio todos  os dias e nada de melhorar,0,,,ToLD-BR,,0
@user eu me sinto muito estranha com conhecidos do lado porque eu sou emocionada jahah hj eu vou até levar uns lencinhos pq vai que,0,,,ToLD-BR,,0
rt @user do nada vem umas lembranças de certas situações e o unico pensamento é: mds sou troxa d++,0,,,ToLD-BR,,0
será que já ta chegando a hora do recreio? quero jogar totó,0,,,ToLD-BR,,0
@user que d贸....!,0,,,ToLD-BR,,0
"mano sei nem o que falar, to muito  puto e as pessoas envolvidas estão  de parabéns, o mundo da voltas  👏👏👏👏👏",0,,,ToLD-BR,,0
"tudo isso somos ele é negro?
até quando vamos admitir isso gente?",0,,,ToLD-BR,,0
@user @user @user @user kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk aaaaaah pqp mermão tá de sacanagem,0,,,ToLD-BR,,0
@user caralho meu ermao sou eu ali kkkkkkk respondi mó na humilda,0,,,ToLD-BR,,0
queria ir pra turnê do criolo aaaa,0,,,ToLD-BR,,0
"sextouuuu e o plano 茅 o mesmo, ficar em casa",0,,,ToLD-BR,,0
rt @user vejo a ana e a chai mais do que a minha família,0,,,ToLD-BR,,0
"Faltam 2 vídeos pra semana misteriosa e todos os 5 que já postei estão sem monetização. terminando a semana na força do ódio mesmo, pq tem cada “conteúdo” lixo q eu vejo por aí que com certeza nunca fica sem monetização 😒",0,,,ToLD-BR,,0
não tem notícia nem nada,0,,,ToLD-BR,,0
quando for mãe o pai do meu filho tem de falar assim c ele 😂,0,,,ToLD-BR,,0
rt @user odeio fazer barba mane pqp,0,,,ToLD-BR,,0
@user estou esperando o criança desespero para arrematar algumas tb!!!,0,,,ToLD-BR,,0
qual paredão não toca brega funk vsf,0,,,ToLD-BR,,0
"@user vou por um alerta no google, quando ele passar pra cá, eu pulo pra lá!",0,,,ToLD-BR,,0
"rt @user stays gringas onde voc锚s est茫o nas vota莽玫es e comeback que eu n茫o vejo? 
#bangchanselcaday @user
https://t.co/6olzrlpa鈥�",0,,,ToLD-BR,,0
"bts: *são milionários e muito influentes na econômia da coréia*

produção: então quem ganhar sai daqui com 5 reais

bts: ヽ(°◇° )ノ https://t.co/f7FJpxRhop",0,,,ToLD-BR,,0
tô passando mal,0,,,ToLD-BR,,0
@user @user porra foi tu quem fez?! e tu sempre esquece de colocar a bendita marca d'agua né kkkkkkk,0,,,ToLD-BR,,0
"na moral, sou um lixo mesmo",0,,,ToLD-BR,,0
@user somoos* ia me sentir mais feia todo dia,0,,,ToLD-BR,,0
"Ok fui tentar tirar uma aranha do meu quarto com o chinelo sem matar pq sou amigo dos animais etc

Deixei cair e agora a aranha SUMIU

SENHOR PENSEI Q TU ME SONDAVAS",0,,,ToLD-BR,,0
e eu que tô indo agora para casa mas não lembro onde pego o outro ônibus,0,,,ToLD-BR,,0
"@user comassim guria kkkk,  eu penso q vc deve priorizar vc mesma e oq te faz bem, a铆 s贸 vai ter sentimento good",0,,,ToLD-BR,,0
"eu: nossa eu e meu pai tamo sem brigar a meses incrível mt bom tamo bem demais

eu: n jogo o lixo no lixo do jeito q ele joga 

meu pai: ooooo meu deus vo briga",0,,,ToLD-BR,,0
o jean willis comendo brigadeiro na panela com a colher de pau auge,0,,,ToLD-BR,,0
rt @user sensatez a gente vê por aqui 👏 https://t.co/5jumlqmp9x,0,,,ToLD-BR,,0
@user que bom! aproveita e faz estoque! você usa bastante!,0,,,ToLD-BR,,0
tamo fazendo nada mas tamo levando hate,0,,,ToLD-BR,,0
"@user @user a gente parcela a vergonha em 36x no crédito, tá... https://t.co/dhlghxer7q",0,,,ToLD-BR,,0
"9-NÃO É ARTISTA! Sem sal, fabricado, nunca se desculpou pelas coisas racistas (não seria mais do que a obrigação). Não é autêntico, superestimado pelas fãs, desafina mais do que canta e tira a blusa pra maquiar a falta de talento. Não inova e fora o show é extremamente tediante. https://t.co/J9dbgvHFST",0,,,ToLD-BR,,0
pro pessoal do fandom é canon só o que eles querem que seja kkkk pena,0,,,ToLD-BR,,0
@user aí lary kkkkkkk pqp em 😂😂😂,0,,,ToLD-BR,,0
"rt @user deus olhou pra mim e falou, sem bunda, sem peito, sem beleza, sem nada, apenas fica aí no mundo vivendo https://t.co/csli…",0,,,ToLD-BR,,0
rt @user uma coisa em cima da outra cara 馃槶馃挃,0,,,ToLD-BR,,0
"@user @user não sei, mas estou fazendo. tudo para tirar essa sensação.",0,,,ToLD-BR,,0
