term,classe_lexical_sugerida,nome_classe,transversal,dependencia_contextual,exemplo_uso,anotador1_classe,anotador1_dependencia,anotador2_classe,anotador2_dependencia,anotador3_classe,anotador3_dependencia,comentarios
vagabundo,3,Assédio Sexual,,médio,"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",,,,,,,
marionete,,,,baixo,Vcs sabem quem está financiando a marionete??,,,,,,,
genocida,1,Descrédito,,médio,"Pois é @carla.zambelli esta senhora pena do Brasil .... ela tem é sangue nas mãos de uma nação pois dinheiro de corrupção mata cidadão de bem dinheiro este que é desviado de segurança, saúde e educaçã…",,,,,,,
baderna,,,,baixo,"A população do bem sempre vai prevalecer a esses PETRalhas,se forem fazer baderna vamos responder à altura",,,,,,,
parasita,,,,médio,"Meliante de quinta categoria, mentiroso, falso, facínora, tosco, vulgar, parasita da sociedade, pária do congresso, rêmora oportunista oca, hipócrita e podre obcecado pelo poder.",,,,,,,
objetivo,,,,alto,"Mas, o que esperar de um congresso quase todo CORROMPIDO? Um reino, uma associação,cooperativa, Senado Federal,Suprema Corte ou até mesmo a Câmara Federal, jamais subsistirá se não estiverem focados n…",,,,,,,
caro,,,,alto,Veta tudo pois no abuso de autoridade eles TB vão derrubar eu sou a favor do ART 142 fecha esta merda cara e o STF caro também. Coloca uma base militar forte das três armas na cabeça do cachorro e vam…,,,,,,,
evangélico,1,Descrédito,T2,médio,Se diz evangélico.pior dos seres a pedra arremessada e igual bumerangue prezado divirta.se com seu veneno.,,,,,,,
hipócrita,1,Descrédito,,médio,"Eu tenho pena do Brasil, pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas. Inclusive essa hipócrita amiga da Dilma.🤔",,,,,,,
punir,4,Ameaças de Violência,,médio,Essa lei vai servir para punir a globolixo e a imprensa que propagam fake news o tempo todo!😠,,,,,,,
ataque,,,,alto,"Sugestão a Bolsonaro: convoque as Forças Armadas e faça uma invasão do bem na Amazônia. Expulse as ONGs que estejam ilegais. Grave as queimadas, os garimpos ilegais, os índios que fazem contrabando, a…",,,,,,,
máfia,,,,médio,Milícia é máfia,,,,,,,
priquito,3,Assédio Sexual,,médio,putinha da surra de priquito,,,,,,,
papagaio,,,,médio,Absurdo chamar essa Maria Ninguém de “pirralha”. Não se deve elogiar e dar mídia a um papagaio ambulante 🦜,,,,,,,
marte,,,,alto,'Emirados Árabes querem ir a Marte e construir uma 'Dubai' lá até 2117' -UOL Por que não usam essa grana para ajudar os refugiados irmãos?,,,,,,,
manifesto,1,Descrédito,T2,alto,"[label=0] Congratulo-me com a redução da #TSU. Não gosto do @govpt, mas se toma medidas com as quais concordo, manifesto o meu agrado. @antoniocostapm",,,,,,,
protegir,,,,médio,,,,,,,,
mentira,1,Descrédito,,alto,"Não podemos mais nem compartilhar?Como vamos saber o que é mentira ou verdade?Eu disser que a esposa do Macron é muito feia,eu@poço ser punida?é FAKE?",,,,,,,
fantoche,,,,baixo,"Parabéns presidente,essa pirralha o que está fazendo aqui? Vai cuida do seu País pirralha. Sabemos que você é só fantoche. @joicehasselmannoficial você é a canalhice de pessoa Deputada. Você não mim r…",,,,,,,
senar,,,,baixo,,,,,,,,
pena,,,,alto,"Quem tem pena é galinha, mas ela é uma VACA LOUCA.",,,,,,,
doutrinar,1,Descrédito,,médio,NAZISTA SAFADO FILHO DA PUTA! VAI DOUTRINAR CRIANÇA NA PUTA QUE TE PARIU,,,,,,,
ladra,3,Assédio Sexual,,médio,Porque ela é uma ladra morfética,,,,,,,
fronteira,,,,alto,RT @direitafalando: já tava na hora de acabar com esse ciência sem fronteira um bando de pobre indo viajar pra europa no mesmo avião que eu _,,,,,,,
arma,,,,alto,"Isso só serve de exemplo para a população aprender a votar, pois é a única arma que o povo tem contra estes vermes é o VOTO🇧🇷",,,,,,,
agenda,,,,alto,E a Amazônia professor? Não dá pra limpar a agenda pra focar nessa emergência? Faz alguma coisa útil. Nem tudo é voto. Onde vocês estão quando o país precisa de vocês ? @cirogomes dando palestra e ent…,,,,,,,
cultural,1,Descrédito,,alto,HOMEM QUE USA SAIA E MAQUIAGEM: APROPRIAÇÃO CULTURAL FEMININA MULHER QUE DEIXA O SUVACO PELUDO: APROPRIAÇÃO CULTU _ https://t.co/wosNyx4JLo,,,,,,,
crime,,,,alto,"Isso é caso de polícia, de FBI ,de CIA para esta vigarista ladra igual a DILMA e a CRISTINA KIRCHNER da ARGENTINA.CRIME ORGANIZADO.",,,,,,,
quão,,,,alto,"A cada ""feliz dia da mulher menos pra feminista"" eu vejo o quão burra é a sociedade",,,,,,,
justiça,1,Descrédito,T2,alto,"Pelo visto a justiça vai se ferrar com o volume de processos, as prisões vão entupir de gente. Tem que começar a prender o pessoal da Globo, folga, Uol, o globo, etc. Em dois tempos eles vão pressiona…",,,,,,,
lutar,4,Ameaças de Violência,,alto,"Agora vc me diz, esse velho filho da puta quer lutar pelo que? Se as coisas estão começando a andar.",,,,,,,
sérgio,,,,alto,Sérgio Moro..mande prender esse canalha ele está fazendo incitação a violência,,,,,,,
destruir,4,Ameaças de Violência,,médio,"Vejam que as décadas de empenho da Rede Globo de Televisão, em destruir as famílias tradicionais brasileiras. Tem afetado também os próprios promotores desta destruição, que lutam. Por um Brasil 100%…",,,,,,,
ditador,1,Descrédito,T2,médio,"Ela não teve pena do Brasil quando Cuba ininteruptamente tentou interferir na nossa democracia. Amiga de comunistas sujos. Amiga de Fidel Castro, um rato ditador e assassino que hoje ocupa um cargo na…",,,,,,,
enter,,,,médio,Congresso que não vale o que o gato enterra.,,,,,,,
meigo,,,,alto,Meigo! Comunistas coerentes como sempre... https://t.co/qAAU6L807q,,,,,,,
desinformar,4,Ameaças de Violência,,médio,"[label=0] @user Veja o exemplo de desinformação da imprensa brasileira #Canalha Menos imposto, aumenta o consumo e aumenta as vendas, todo saem ganhando. O Jornal O Globo 🌐 como todos os do seu grupo sempre ten…",,,,,,,
dissimular,,,,médio,,,,,,,,
roubar,4,Ameaças de Violência,,médio,Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,,,,,,,
razão,1,Descrédito,,alto,Nisso vc tem razão . Os filhos do presidente falam muita besteira desnecessária,,,,,,,
cansar,4,Ameaças de Violência,,médio,"Ele podia cansar de passar vergonha, está cavando cova pro governo.",,,,,,,
ateísta,1,Descrédito,,alto,jornalistazinho neo-ateísta militante que só sabe atacar o cristianismo!!! https://t.co/aqsKwu2cht,,,,,,,
bandir,,,,médio,,,,,,,,
deplorável,1,Descrédito,,médio,Que absurdo eu colocaria esse verme na cadeia para aprender respeitar pelos menos a mãe dele pq quando ele ataca uma mulher ataca a sua propria genitora que vergonha de um ser deplorável desse 😠😠😠😠😠😈😈…,,,,,,,
jênio,,,,alto,"Atenção: segundo esse 'jênio' a violência contra a mulher no Brasil se dá pelo fato do país ser de maioria cristã, _ https://t.co/i3Pa8oFnd3",,,,,,,
fogueira,,,,alto,Essa revista é de quinta categoria. Não serve nem pra fazer fogueira.,,,,,,,
watson,,,,médio,RT @maathbz: Feministas: Criticam decote da feminista Ema Watson pq a desvaloriza Acham que Ema Watson tem q se dar respeito feministas _,,,,,,,
sujeira,,,,médio,"É muita sujeira dessa gentalha ordinária, depois ficam falando de Deus... que Deus é esse???",,,,,,,
teresa,,,,médio,teresa: quero ir ao quintal toda a gente excepto eu: *ignores* teresa: é um sitio de fufas toda a gente: BORA!1!!!!,,,,,,,
condenação,1,Descrédito,T2,médio,Comenta sobre a condenação e a péssima gestao a frente da prefeitura. A derrota para o novato Joao Doria e depois para o ignorante xucro JB,,,,,,,
oas,,,,baixo,Devolve o dinheiro roubado via OAS...,,,,,,,
chile,,,,baixo,"Que mulher babaca! Vai cuidar do seu Chile, estúpida!",,,,,,,
racista,1,Descrédito,,alto,"Depois dessa vitória dá esquerda na Argentina o cocô do RACISTA até parou de sair todo dia, trancou o 👌🏽😂",,,,,,,
pia,,,,alto,"ela bebe fuma, bebe fuma, pia papagaio traz as vagabunda",,,,,,,
dubai,,,,alto,'Emirados Árabes querem ir a Marte e construir uma 'Dubai' lá até 2117' -UOL Por que não usam essa grana para ajudar os refugiados irmãos?,,,,,,,
imprensa,1,Descrédito,T2,alto,"Ainda tem “especialista” da @globonews dizendo que @manueladavila pode torcer pela eleição de Cristina kirchner e Alberto Fernández, o Bolsonada pode ameaçar os eleitores livres da Argentina. Vergonha…",,,,,,,
monstro,4,Ameaças de Violência,,médio,@fernandohaddadoficial a esquerda precisa se unir pra mudar o rumo dessa situação no país. .nosso país está sendo destruído por esse demente que se diz presidente. ...dor e desolação com essa destruiç…,,,,,,,
sra,,,,médio,Dispensamos sua pena sra Michele Bachelet.Temos misericórdia dos pobres de espírito que manipulam os pobres.,,,,,,,
entendi,,,,alto,"Eu tenho ranço desse estocador de cocô, mas entendi o que ele quis dizer em relação à Roraima. A população desse estado teve muitos problemas com os imigrantes venezuelanos. Agora ele errou ao dizer,…",,,,,,,
fundo,,,,alto,Estas pessoas que tratam esse verme Silvio Sanntos ccomo caduco no fundo pensam como ele.,,,,,,,
nordeste,,,,alto,A Globo é um.lixo hoje falou o tempo todo acusando o Bolsonaro..Cadê os 19 governadores da esquerda do Nordeste??,,,,,,,
protetor,,,,médio,"O gigante adormecido criminosamente pelos petistas, e facistas comunistas, está acordando para tornar o Brasil a quarta potencia mundial. EUA, CHINA, RUSSIA E BRASIL. O PROTETOR DA AMERICA LATINA CONT…",,,,,,,
esgoto,,,,médio,Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,,,,,,,
malafaia,,,,alto,"Tudo de mesma LAIA, farinhas do mesmo saco. Esse maracutaia, aaah não mala_ falha. OPS !! MALAFAIA TEM QUE IR PRO XILINDRO",,,,,,,
mulher,3,Assédio Sexual,,médio,Essa mulher é doente.pilantra!,,,,,,,
sociedade,1,Descrédito,,alto,Tu manuela é um resumo de tudo que não presta nesse mundo! Você presta um desserviço à sociedade brasileira. Pegue suas coisinhas é saia de mansinho. #avantebrasil,,,,,,,
sitio,,,,baixo,"O satanás encarnado quer ficar livre da condenação p sitio de Atibaia, para continuar infernizando a vida dos brasileiros de bem .",,,,,,,
contrariar,4,Ameaças de Violência,,alto,"[label=0] @CarlosMvrtins @Curate_Angola desculpa, eu gostava de conseguir respeitar a tua opinião mas não consigo. Se eles são felizes, pq contrariar?",,,,,,,
lenha,,,,médio,"Será,,Kkkk,,,,vcs mentem tanto mais tanto,,,,,parabéns Bolsonaro senta lenha",,,,,,,
incubar,,,,médio,,,,,,,,
facho,,,,médio,"@fjstex estás a insinuar que algarvios, alentejanos, comunas e fachos não passam de uma cambada de rabetas?!",,,,,,,
vigarista,1,Descrédito,T2,médio,"Pena do Brasil??? O qué será que pensa essa corrupta, tentando dar uma de pessoa íntegra, correta, quando não passa de uma vigarista! 😠🤔😠",,,,,,,
marxismo,1,Descrédito,,alto,"Bem vindos de volta ao 'PREC', na Nova. A arruaça esquerdalha e o marxismo cultural mandam e todos se encolhem? Vergonhoso! @fcshunl",,,,,,,
batom,,,,médio,Batom vermelho só é bonito em gente branca,,,,,,,
responsabilizar,,,,baixo,"Esses bostas da Globo, tentam a todo momento responsabilizar o atual governo, sobre tudo de ruim que acontece. Chega ser vergonhoso @jornaloglobo @globo_lixo2019 não percebem que o povo acordou e não…",,,,,,,
fuzilar,4,Ameaças de Violência,,médio,,,,,,,,
imoral,1,Descrédito,,médio,Deve ter pena dela quando descobrir os podre dela essa imoral,,,,,,,
crápula,1,Descrédito,,baixo,"🇧🇷Isso não é um jornalista, muito menos o homem, mas sim um Cafajeste, um crápula, um bicho ruim de chifre, rabo e garfo na pata, um ABUTRE com um microfone na mão. Acho que nem a mãe dele ele respeit…",,,,,,,
moralista,1,Descrédito,,baixo,"Que e esse imundo que se acha o moralista da conduta correta ? Deve ser um daqueles imorais , se achando gente do bem . No fundo tem medo de abrir a bíblia pq sabe o que faz da sua vida e pecaminoso .…",,,,,,,
ingênuo,1,Descrédito,,alto,[label=0] 😂😂😂😂povo ingênuo,,,,,,,
emitir,,,,alto,E O TRUMP HJ TB MANDOU UM RECADO PRA PIRRALHA . PENSO QUE POR MAIS BOA INTENCAO QUE TENHA ELA DEVA CONHECER IN LOCO AS COISAS PRA EMITIR OPINIAO.,,,,,,,
romance,,,,médio,"Já achava a "" Bela e a Fera"" ,ridícula mesmo. Disney sai do armário: ‘_A Bela e a Fera’_ terá romance gay... https://t.co/muCEEmLqxq",,,,,,,
basta,,,,alto,Outra esquerdista cara de pau! Não basta os do Brasil! 😡,,,,,,,
exercito,,,,baixo,"Grande bosta se seu pai fica demorando pra vetar o abuso de autoridade e pra mandar o exercito no congresso, grande bosta essas coisas",,,,,,,
pasto,,,,médio,"E esse tipo de pastor, tem que viver no pasto.",,,,,,,
cova,,,,baixo,Esses corruptos só vão parar quando começarem a morrer...um por um! Eles estão cavando a própria cova.,,,,,,,
serpente,1,Descrédito,T1,baixo,"@bolsonarosp o serpente do diabo ,da morte do noblat sempre fala no blog dele tic tac envolvendo vocês",,,,,,,
far,,,,alto,[label=0] quando uma army agradeceu o Yoongi falando que estava passando por uns problemas e que so far away conseguiu consolar e ajudar ela e o Yoongi ficou todo alegre. esse vídeo sempre me deixa tão feliz. @…,,,,,,,
sapatona,3,Assédio Sexual,,médio,BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,,,,,,,
cafajeste,3,Assédio Sexual,,baixo,"As mulheres te respeitam Damaris! Continue firme com seus propósitos, não permite que um cafajeste, um troglodita te faça sentir mal! Ignore pessoas que não merecem sua compaixão.😘",,,,,,,
asno,,,,baixo,"Pior do que ele falando esse monte de asneira, é um bando de asno no meio da chuva, na estrada e com um frio da porra pra ouvir essas idiotices e bater palma! 😒😒😒",,,,,,,
decência,1,Descrédito,,médio,"Me solidarizo com a senhora ministra, esse ser que escreveu é completamente desprovido de ética, decência, indoli, moral, um lixo da sociedade e traz consigo a educação que recebeu da própria progenit…",,,,,,,
ess,,,,médio,Ess joice é traidora mesmo ganhou nas costa do presidente e agora traiu,,,,,,,
dino,,,,médio,"Eles não aprendem , Flávio dino foi bater papo traficante e ninguém perguntou como entrou e saiu aonde nem a polícia entra",,,,,,,
enganar,4,Ameaças de Violência,,médio,As viúvas do Partido das trevas PT estão em todos os lugares tentando enganar o povo desinformado e estimulan os analfabetos funcionais a acreditar que podem se dar bem sem fazer esforço nenhum para m…,,,,,,,
guerra,,,,alto,Seu doente! A invasão da Polônia marca o início da segunda guerra mundial onde milhões de pessoas foram mortas e torturadas.,,,,,,,
burra,1,Descrédito,,médio,"Os inteligente na pista kkkk o que mais que a galera sabe me contam eu não sabia dessa será que sou burra, a não eu não estava lá na guerra opis",,,,,,,
árabe,,,,alto,[label=0] @user @user a cultura árabe é semelhante a conservadora brasileira. sorte que o ocidente barrou esse comportamento.,,,,,,,
calar,4,Ameaças de Violência,,alto,"Velhinha safada senil, alguém faça a gentileza de calar esses canalhas, já não suporto mais nem ver a cara desses hipócritas, Bachelet, Macron, Maduro, os petralhas e por aí vai",,,,,,,
verdadeiro,1,Descrédito,,alto,"Sou baiano, já voltei na desgraça do PT e, graças a Deus fui libertado dessa praga. Bolsonaro é o verdadeiro presidente e o melhor do brasil. Chupa esquerdalhas! Lula e sua quadrilha tem que ser estir…",,,,,,,
forabolsonarar,,,,médio,,,,,,,,
inescrupuloso,1,Descrédito,,médio,"[label=0] RT @PastorMalafaia: FELIPE NETO é uma honra ser caluniado por um INESCRUPULOSO como você.Vou lhe dar a chance, na justiça, para você provar _",,,,,,,
desocupar,4,Ameaças de Violência,,médio,,,,,,,,
fdps,,,,médio,"Carta Capital!!!! É lixo!! Escrotos, Mal Amados, Vagabundos, Ordinários, Salafrários, Dementes, Demônios...e ficaria o dia todo escrevendo sobre vcs seus fdps #cartacapitallixo",,,,,,,
venezuelano,1,Descrédito,T2,médio,Penalizada tem que estar do povo Venezuelano e envergonhada por receber propina😱,,,,,,,
cachaceiro,3,Assédio Sexual,,médio,Porque é bandida igualmente a o presidiário cachaceiro do Lula,,,,,,,
bruto,,,,médio,"Porque apesar de ser bruto igual os pés da burra, quando era pequenininho aprendi que em mulher não se bate nem... https://t.co/x9SvwrUSLT",,,,,,,
plantão,,,,médio,"Então esses jornalecos de plantão deverão ser todps presos, pois só praticam fake news, contra o governo Federal, especialmente contra nosso Presidente..afff",,,,,,,
exercer,,,,médio,"Temos uma imprensa podre, jornalistas doentes mentais e sem capacidade de exercer e escrever artigos, uma vergonha, próprios jornalistas ficarem contra seu próprio país.",,,,,,,
zombar,4,Ameaças de Violência,,médio,"O problema nunca é a piada e sim se você é ou não esquerdista. Se for, pode zombar da PM que tá tudo lindo. Na hora _ https://t.co/ICdlGCEHob",,,,,,,
frágil,2,Estereotipização,,alto,Nesse dia das mulheres seria muito bom vocês pararem de retratar a mulher como louca/ciumenta/burra/frágil,,,,,,,
cavalheiro,,,,médio,RT @JOAQUINVOLTOU: VAGABUNDO CHEGA AGARRANDO AS MENINA SEJEM CAVALHEIROS: OLA TUDO BEM VOCÊ É LINDA SEUS LABIOS DEVEM TER GOSTO DE MÉL VAMO _,,,,,,,
vergonha,1,Descrédito,,médio,Essa nao tem vergonha na cara!!,,,,,,,
deputado,1,Descrédito,T2,alto,"OUTRO BANDIDO COMUNISTA Q VCS APOIARAM A REELEIÇÃO DO CHILENO CORRUPTO MESMO SABENDO Q ELE NO GOVERNO PASSADO ENGAVETOU AS 10 MEDIDAS DA LAVA JATO, COMO PODEM DEIXAR DE APOIAREM O MARCEL DEPUTADO BRIL…",,,,,,,
propina,,,,baixo,Demagoga se locupletando com dinheiro de propina,,,,,,,
corrupta,1,Descrédito,,baixo,Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,,,,,,,
desmoralizar,4,Ameaças de Violência,,médio,Todo dia essa esquerda quer desmoralizar nosso governo. 🇧🇷💚🙏🇧🇷🙏🏿,,,,,,,
pirralho,3,Assédio Sexual,,baixo,É pirralho mesmo!,,,,,,,
canalhice,1,Descrédito,,médio,"Vergonha o que fazem esses pseudos ptistas e permanecem impunes, isso é por que eles têm o STF, a câmara e senado ao seu favor, chega de canalhice.",,,,,,,
saquear,4,Ameaças de Violência,,baixo,"Tem que prender os congressistas que saquearam o país e se escondem atrás das leis que os beneficiam, isso sim",,,,,,,
breno,,,,alto,"[label=0] breno quer que eu continue o tt, vsf breno",,,,,,,
