term,polarity,score_norm,O_score,pmi_mis,pmi_non,cooc_mis,cooc_non,freq_mis,freq_non,freq_total,origem,categoria_id_sugerida,categoria_nome_sugerida,similaridade,top3_cats
terrorista,misogino,3.0100701406999253,3.0100701406999253,1.3042853325149502,-1.705784808184975,24,1,32,24,61,semente+pmi,11,Violência Política Digital,0.3579,11:0.358; 9:0.298; 4:0.266
sapatão,misogino,2.8765387480754026,2.8765387480754026,-0.0749584706082735,-2.9514972186836763,21,1,132,71,212,semente+pmi,3,Assédio Sexual,0.4041,3:0.404; 10:0.322; 8:0.284
bando,misogino,2.8765387480754026,2.8765387480754026,0.9911683629153478,-1.8853703851600547,21,1,38,35,73,semente+pmi,4,Ameaças de Violência,0.3558,4:0.356; 1:0.315; 10:0.288
imbecil,misogino,2.8277485839059704,2.8277485839059704,0.9153495263579964,-1.912399057547974,20,1,44,31,75,semente+pmi,1,Descrédito,0.4925,1:0.492; 6:0.276; 3:0.261
defender,misogino,2.8277485839059704,2.8277485839059704,0.9021042996079756,-1.925644284297995,60,3,74,137,228,pmi_expandido,11,Violência Política Digital,0.3896,11:0.39; 4:0.371; 9:0.36
mentiroso,misogino,2.8277485839059704,2.8277485839059704,1.301012007169981,-1.5267365767359893,20,1,25,26,51,pmi_expandido,1,Descrédito,0.4131,1:0.413; 6:0.293; 4:0.282
corrupto,misogino,2.793847032230289,2.793847032230289,1.5268637524210704,-1.2669832798092189,58,3,61,52,118,semente+pmi,1,Descrédito,0.353,1:0.353; 11:0.297; 9:0.273
covarde,misogino,2.77645528951842,2.77645528951842,1.192560298942482,-1.583894990575938,19,1,26,26,54,pmi_expandido,1,Descrédito,0.4465,1:0.446; 4:0.296; 6:0.269
vagabunda,misogino,2.7223880682481445,2.7223880682481445,0.7086365164398825,-2.013751551808262,18,1,49,33,83,semente+pmi,3,Assédio Sexual,0.6349,3:0.635; 8:0.457; 1:0.398
news,misogino,2.6652296544081957,2.6652296544081957,1.286129076478271,-1.3791005779299248,17,1,19,25,44,pmi_expandido,,,0.1298,11:0.13; 6:0.106; 9:0.1
ditadura,misogino,2.6046050325917607,2.6046050325917607,0.8825597035350056,-1.7220453290567552,16,1,21,39,62,pmi_expandido,11,Violência Política Digital,0.4032,11:0.403; 9:0.354; 10:0.239
demônio,misogino,2.5400665114541896,2.5400665114541896,1.1165141709534308,-1.4235523405007586,15,1,37,8,46,semente+pmi,,,0.2558,1:0.256; 4:0.251; 10:0.204
argentina,misogino,2.5400665114541896,2.5400665114541896,1.3075694077161404,-1.2324971037380494,15,1,16,19,38,pmi_expandido,,,0.2446,11:0.245; 9:0.169; 2:0.15
podre,misogino,2.5400665114541896,2.5400665114541896,1.4486480059760456,-1.091418505478144,30,2,41,22,66,semente+pmi,1,Descrédito,0.3056,1:0.306; 3:0.236; 4:0.208
eleição,misogino,2.540066511454189,2.540066511454189,0.4018607851725219,-2.1382057262816674,15,1,28,63,94,pmi_expandido,11,Violência Política Digital,0.4877,11:0.488; 9:0.234; 1:0.141
satanás,misogino,2.471073639967238,2.471073639967238,1.6572868710873736,-0.8137867688798643,14,1,15,5,25,semente+pmi,,,0.2176,1:0.218; 4:0.206; 5:0.143
corrupção,misogino,2.471073639967238,2.471073639967238,0.833111428121024,-1.637962211846214,14,1,20,34,57,pmi_expandido,11,Violência Política Digital,0.4108,11:0.411; 9:0.343; 1:0.243
limite,misogino,2.471073639967238,2.471073639967238,0.833111428121024,-1.637962211846214,14,1,20,37,57,pmi_expandido,,,0.1174,9:0.117; 5:0.099; 6:0.075
esquerda,misogino,2.446976088388177,2.446976088388177,0.693182061016842,-1.7537940273713355,82,6,170,187,384,pmi_expandido,11,Violência Política Digital,0.3847,11:0.385; 9:0.325; 10:0.27
diabo,misogino,2.3969656678135163,2.3969656678135163,0.8130706772375782,-1.583894990575938,13,1,28,24,54,semente+pmi,,,0.2612,1:0.261; 4:0.261; 3:0.212
cadeia,misogino,2.3775475819564145,2.3775475819564145,1.364909954331385,-1.0126376276250295,51,4,89,31,122,semente+pmi,,,0.1519,11:0.152; 3:0.145; 4:0.145
lei,misogino,2.3169229601399803,2.3169229601399803,0.9153495263579966,-1.4015734337819836,36,3,34,94,135,pmi_expandido,,,0.2562,11:0.256; 9:0.19; 1:0.077
comunismo,misogino,2.31692296013998,2.31692296013998,1.2562761133285894,-1.0606468468113903,12,1,15,16,32,pmi_expandido,9,Neossexismo,0.4688,9:0.469; 11:0.413; 6:0.247
trabalhador,misogino,2.31692296013998,2.31692296013998,0.6789607482937658,-1.637962211846214,12,1,27,27,57,pmi_expandido,11,Violência Política Digital,0.3198,11:0.32; 9:0.306; 5:0.237
criatura,misogino,2.31692296013998,2.31692296013998,1.4639154781068342,-0.8530074820331458,12,1,18,7,26,semente+pmi,2,Estereotipização,0.3467,2:0.347; 1:0.301; 10:0.289
população,misogino,2.31692296013998,2.31692296013998,0.8508110052204252,-1.4661119549195547,12,1,17,30,48,pmi_expandido,11,Violência Política Digital,0.3389,11:0.339; 9:0.299; 2:0.19
nojo,misogino,2.31692296013998,2.31692296013998,1.0248337591996848,-1.2920892009402951,36,3,68,48,121,semente+pmi,,,0.2808,1:0.281; 3:0.252; 6:0.22
emirado,misogino,2.237105366340316,2.237105366340316,2.237105366340316,0.0,7,0,2,5,7,pmi_expandido,,,0.1318,5:0.132; 10:0.127; 3:0.116
atacar,misogino,2.2299115831503507,2.2299115831503507,1.148645449136224,-1.0812661340141263,33,3,38,51,98,pmi_expandido,4,Ameaças de Violência,0.479,4:0.479; 5:0.273; 1:0.208
eleger,misogino,2.22991158315035,2.22991158315035,0.4453458971122607,-1.7845656860380894,11,1,24,42,66,pmi_expandido,,,0.2524,11:0.252; 4:0.228; 5:0.188
urgente,misogino,2.22991158315035,2.22991158315035,0.7848530374286279,-1.4450585457217222,11,1,13,32,47,pmi_expandido,11,Violência Política Digital,0.3218,11:0.322; 9:0.313; 2:0.27
eua,misogino,2.22991158315035,2.22991158315035,0.4918659127471537,-1.7380456704031964,11,1,17,46,63,pmi_expandido,,,0.096,10:0.096; 9:0.074; 6:0.05
pilantra,misogino,2.22991158315035,2.22991158315035,1.5439581857803706,-0.6859533973699795,22,2,23,19,44,semente+pmi,3,Assédio Sexual,0.3207,3:0.321; 1:0.275; 11:0.196
machista,misogino,2.22991158315035,2.22991158315035,0.5406560769165857,-1.6892555062337644,11,1,23,34,60,pmi_expandido,9,Neossexismo,0.4972,9:0.497; 1:0.44; 6:0.378
venezuela,misogino,2.2299115831503498,2.2299115831503498,0.8973310208553179,-1.332580562295032,11,1,18,24,42,pmi_expandido,11,Violência Política Digital,0.3081,11:0.308; 9:0.196; 1:0.172
processar,misogino,2.2299115831503498,2.2299115831503498,1.1086401145225249,-1.121271468627825,11,1,16,16,34,pmi_expandido,,,0.2611,4:0.261; 5:0.235; 11:0.167
rabo,misogino,2.2299115831503498,2.2299115831503498,0.7229776337105402,-1.5069339494398095,11,1,15,33,50,pmi_expandido,8,Objetificação Sexual,0.4046,8:0.405; 3:0.373; 10:0.266
sujo,misogino,2.2299115831503498,2.2299115831503498,1.1234552003076657,-1.1064563828426843,22,2,32,34,67,pmi_expandido,,,0.1889,1:0.189; 3:0.185; 10:0.176
nojentar,misogino,2.2299115831503498,2.2299115831503498,1.2010134346535402,-1.0288981484968098,11,1,18,13,31,semente+pmi,,,0.0,
lula,misogino,2.1714153764687416,2.1714153764687416,0.761543139872063,-1.4098722365966785,83,8,127,203,363,pmi_expandido,,,0.207,3:0.207; 11:0.206; 10:0.2
quadrilha,misogino,2.134601403346025,2.134601403346025,0.902104299607976,-1.2324971037380494,10,1,19,19,38,semente+pmi,,,0.244,11:0.244; 10:0.208; 3:0.201
dúvida,misogino,2.134601403346025,2.134601403346025,0.350035717307936,-1.7845656860380894,10,1,13,52,66,pmi_expandido,,,0.245,6:0.245; 9:0.23; 2:0.214
luladr,misogino,2.134601403346025,2.134601403346025,1.900633129719103,-0.2339682736269222,10,1,12,2,14,semente+pmi,,,0.0,
lamentável,misogino,2.134601403346025,2.134601403346025,0.778490343640799,-1.356111059705226,10,1,17,25,43,pmi_expandido,1,Descrédito,0.4014,1:0.401; 9:0.382; 11:0.364
derrubar,misogino,2.134601403346025,2.134601403346025,0.7555008254161004,-1.3791005779299248,10,1,14,26,44,pmi_expandido,4,Ameaças de Violência,0.433,4:0.433; 5:0.254; 1:0.211
marco,misogino,2.134601403346025,2.134601403346025,1.1723946293478873,-0.9622067739981376,10,1,6,20,29,pmi_expandido,,,0.1673,9:0.167; 11:0.147; 6:0.068
militante,misogino,2.134601403346025,2.134601403346025,0.689542857624303,-1.4450585457217222,10,1,13,33,47,pmi_expandido,11,Violência Política Digital,0.5408,11:0.541; 9:0.434; 1:0.248
vagabundo,misogino,2.1092835953617355,2.1092835953617355,1.1342286788857487,-0.9750549164759869,78,8,92,138,235,pmi_expandido,3,Assédio Sexual,0.3808,3:0.381; 1:0.36; 4:0.29
marionete,misogino,2.082954686513057,2.082954686513057,2.082954686513057,0.0,6,0,5,1,7,semente+pmi,,,0.2643,1:0.264; 3:0.241; 4:0.225
genocida,misogino,2.082954686513057,2.082954686513057,2.082954686513057,0.0,6,0,4,3,7,pmi_expandido,1,Descrédito,0.3214,1:0.321; 11:0.256; 9:0.241
baderna,misogino,2.054783809546361,2.054783809546361,2.054783809546361,0.0,5,0,5,1,6,semente+pmi,,,0.2481,1:0.248; 10:0.18; 6:0.177
parasita,misogino,2.036434670878165,2.036434670878165,2.036434670878165,0.0,9,0,7,4,11,semente+pmi,,,0.248,1:0.248; 2:0.233; 4:0.232
objetivo,misogino,2.029240887688199,2.029240887688199,0.9685940408768086,-1.0606468468113903,9,1,6,26,32,pmi_expandido,,,0.2079,9:0.208; 11:0.182; 2:0.07
caro,misogino,2.029240887688199,2.029240887688199,0.7967437839501497,-1.2324971037380494,9,1,8,30,38,pmi_expandido,,,0.1425,1:0.143; 5:0.102; 3:0.093
evangélico,misogino,2.029240887688199,2.029240887688199,0.9685940408768086,-1.0606468468113903,9,1,15,14,32,pmi_expandido,11,Violência Política Digital,0.3136,11:0.314; 9:0.312; 6:0.204
hipócrita,misogino,2.029240887688199,2.029240887688199,1.366277008542918,-0.6629638791452808,18,2,24,19,43,semente+pmi,1,Descrédito,0.5355,1:0.535; 9:0.394; 2:0.353
punir,misogino,2.029240887688199,2.029240887688199,1.1021254335013315,-0.9271154541868676,9,1,14,13,28,pmi_expandido,4,Ameaças de Violência,0.3366,4:0.337; 5:0.227; 1:0.209
ataque,misogino,2.029240887688199,2.029240887688199,1.03313256201438,-0.996108325673819,9,1,10,18,30,pmi_expandido,,,0.2855,4:0.285; 11:0.183; 1:0.158
máfia,misogino,2.0139618150261063,2.0139618150261063,2.0139618150261063,0.0,4,0,3,2,5,pmi_expandido,,,0.1745,3:0.175; 1:0.156; 11:0.15
priquito,misogino,2.0139618150261063,2.0139618150261063,2.0139618150261063,0.0,4,0,3,2,5,pmi_expandido,3,Assédio Sexual,0.396,3:0.396; 8:0.338; 10:0.265
papagaio,misogino,2.0139618150261063,2.0139618150261063,2.0139618150261063,0.0,4,0,2,3,5,pmi_expandido,,,0.2679,3:0.268; 10:0.26; 1:0.205
marte,misogino,2.0139618150261063,2.0139618150261063,2.0139618150261063,0.0,4,0,1,4,5,pmi_expandido,,,0.19,10:0.19; 1:0.185; 2:0.18
manifesto,misogino,2.0139618150261063,2.0139618150261063,2.0139618150261063,0.0,4,0,1,4,5,pmi_expandido,11,Violência Política Digital,0.4144,11:0.414; 9:0.358; 6:0.232
protegir,misogino,2.0139618150261063,2.0139618150261063,2.0139618150261063,0.0,4,0,3,2,5,pmi_expandido,,,0.0,
mentira,misogino,1.991500559705352,1.991500559705352,0.7502697759985477,-1.2412307837068042,26,3,43,69,115,pmi_expandido,1,Descrédito,0.4102,1:0.41; 6:0.314; 4:0.292
fantoche,misogino,1.9857909380594092,1.9857909380594092,1.9857909380594092,0.0,7,0,9,0,9,semente+pmi,,,0.2662,1:0.266; 4:0.181; 10:0.175
senar,misogino,1.9857909380594092,1.9857909380594092,1.9857909380594092,0.0,7,0,7,2,9,semente+pmi,,,0.2211,11:0.221; 4:0.218; 5:0.202
pena,misogino,1.9720824738482503,1.9720824738482503,0.6595426624366644,-1.312539811411586,51,6,92,141,247,pmi_expandido,,,0.1138,6:0.114; 1:0.11; 10:0.109
doutrinar,misogino,1.9494232938885347,1.9494232938885347,1.9494232938885347,0.0,6,0,4,4,8,pmi_expandido,9,Neossexismo,0.3593,9:0.359; 11:0.305; 4:0.24
ladra,misogino,1.9186516352217813,1.9186516352217813,1.9186516352217813,0.0,8,0,7,4,11,semente+pmi,3,Assédio Sexual,0.3436,3:0.344; 1:0.261; 4:0.238
fronteira,misogino,1.9186516352217813,1.9186516352217813,1.9186516352217813,0.0,8,0,3,8,11,pmi_expandido,,,0.2497,11:0.25; 9:0.193; 10:0.162
arma,misogino,1.911457852031816,1.911457852031816,0.984342397844948,-0.9271154541868676,8,1,9,19,28,pmi_expandido,,,0.2655,4:0.266; 10:0.193; 3:0.186
agenda,misogino,1.911457852031816,1.911457852031816,0.6789607482937663,-1.2324971037380494,8,1,8,28,38,pmi_expandido,,,0.2873,11:0.287; 9:0.144; 2:0.093
cultural,misogino,1.911457852031816,1.911457852031816,0.984342397844948,-0.9271154541868676,8,1,7,21,28,pmi_expandido,9,Neossexismo,0.3536,9:0.354; 11:0.248; 2:0.161
crime,misogino,1.9114578520318155,1.9114578520318155,0.7470142115387817,-1.1644436404930338,32,4,36,94,142,pmi_expandido,,,0.2573,11:0.257; 9:0.214; 4:0.19
quão,misogino,1.9114578520318155,1.9114578520318155,1.1384930776722062,-0.7729647743596093,8,1,3,21,24,pmi_expandido,,,0.1369,1:0.137; 2:0.12; 6:0.111
justiça,misogino,1.9114578520318155,1.9114578520318155,0.300163887267763,-1.6112939647640525,16,2,26,80,111,pmi_expandido,11,Violência Política Digital,0.3744,11:0.374; 9:0.344; 1:0.192
lutar,misogino,1.9114578520318155,1.9114578520318155,0.5210577188479573,-1.390400133183858,16,2,25,61,89,pmi_expandido,4,Ameaças de Violência,0.3731,4:0.373; 5:0.24; 9:0.229
sérgio,misogino,1.9114578520318155,1.9114578520318155,1.2720244702967287,-0.6394333817350866,8,1,2,19,21,pmi_expandido,,,0.1231,11:0.123; 9:0.041; 10:0.033
destruir,misogino,1.9114578520318155,1.9114578520318155,0.7901863834039904,-1.121271468627825,16,2,27,39,68,pmi_expandido,4,Ameaças de Violência,0.4565,4:0.456; 5:0.288; 1:0.226
ditador,misogino,1.9114578520318155,1.9114578520318155,1.181052692091002,-0.7304051599408133,8,1,14,9,23,semente+pmi,11,Violência Política Digital,0.3646,11:0.365; 9:0.285; 1:0.282
enter,misogino,1.9114578520318155,1.9114578520318155,0.9153495263579964,-0.996108325673819,8,1,12,17,30,pmi_expandido,,,0.2027,4:0.203; 5:0.188; 9:0.131
meigo,misogino,1.900633129719103,1.900633129719103,1.900633129719103,0.0,5,0,2,5,7,pmi_expandido,,,0.2352,3:0.235; 2:0.232; 8:0.16
desinformar,misogino,1.900633129719103,1.900633129719103,1.900633129719103,0.0,5,0,5,2,7,semente+pmi,4,Ameaças de Violência,0.3314,4:0.331; 1:0.299; 5:0.27
dissimular,misogino,1.8693805862149984,1.8693805862149984,1.8693805862149984,0.0,9,0,7,6,13,pmi_expandido,,,0.2858,4:0.286; 1:0.26; 2:0.24
roubar,misogino,1.8601645576442647,1.8601645576442647,0.947437840909497,-0.912726716734768,38,5,65,65,138,pmi_expandido,4,Ameaças de Violência,0.4406,4:0.441; 5:0.27; 7:0.205
razão,misogino,1.846919330894244,1.846919330894244,0.7110490628452666,-1.1358702680489776,15,2,20,49,69,pmi_expandido,9,Neossexismo,0.3047,9:0.305; 1:0.274; 11:0.271
cansar,misogino,1.846919330894244,1.846919330894244,0.8847125568961065,-0.9622067739981376,15,2,25,32,58,pmi_expandido,4,Ameaças de Violência,0.3557,4:0.356; 7:0.237; 5:0.221
ateísta,misogino,1.831640258232152,1.831640258232152,1.831640258232152,0.0,4,0,2,4,6,pmi_expandido,9,Neossexismo,0.337,9:0.337; 1:0.313; 11:0.223
bandir,misogino,1.831640258232152,1.831640258232152,1.831640258232152,0.0,4,0,4,2,6,pmi_expandido,,,0.0,
deplorável,misogino,1.831640258232152,1.831640258232152,1.831640258232152,0.0,4,0,4,2,6,pmi_expandido,1,Descrédito,0.4182,1:0.418; 9:0.311; 2:0.305
jênio,misogino,1.831640258232152,1.831640258232152,1.831640258232152,0.0,4,0,2,4,6,pmi_expandido,,,0.0,
fogueira,misogino,1.831640258232152,1.831640258232152,1.831640258232152,0.0,4,0,2,4,6,pmi_expandido,,,0.2578,4:0.258; 10:0.247; 3:0.236
watson,misogino,1.831640258232152,1.831640258232152,1.831640258232152,0.0,4,0,2,2,6,pmi_expandido,,,0.0769,10:0.077; 3:0.072; 9:0.069
sujeira,misogino,1.831640258232152,1.831640258232152,1.831640258232152,0.0,4,0,4,2,6,pmi_expandido,,,0.2715,10:0.272; 4:0.248; 2:0.238
teresa,misogino,1.831640258232152,1.831640258232152,1.831640258232152,0.0,4,0,2,1,6,pmi_expandido,,,0.1834,3:0.183; 2:0.136; 7:0.112
condenação,misogino,1.8316402582321512,1.8316402582321512,1.8316402582321512,0.0,6,0,5,3,9,semente+pmi,11,Violência Política Digital,0.4326,11:0.433; 9:0.322; 2:0.185
oas,misogino,1.8316402582321512,1.8316402582321512,1.8316402582321512,0.0,6,0,7,2,9,semente+pmi,,,0.0414,5:0.041; 3:0.041; 11:0.018
chile,misogino,1.7851202425972583,1.7851202425972583,1.7851202425972583,0.0,7,0,9,2,11,semente+pmi,,,0.085,3:0.085; 10:0.075; 8:0.074
racista,misogino,1.7779264594072934,1.7779264594072934,0.3471538709330474,-1.430772588474246,21,3,41,93,139,pmi_expandido,9,Neossexismo,0.4924,9:0.492; 11:0.416; 1:0.413
pia,misogino,1.777926459407293,1.777926459407293,1.2385765362291887,-0.5393499231781042,7,1,3,12,19,pmi_expandido,,,0.1661,8:0.166; 5:0.162; 3:0.154
dubai,misogino,1.777926459407293,1.777926459407293,1.8804304224015835,0.1025039629942906,7,1,2,8,10,pmi_expandido,,,0.0494,3:0.049; 5:0.019; 8:0.007
imprensa,misogino,1.777926459407293,1.777926459407293,0.917256104628578,-0.860670354778715,35,5,44,81,131,pmi_expandido,11,Violência Política Digital,0.4037,11:0.404; 9:0.281; 1:0.205
monstro,misogino,1.7779264594072928,1.7779264594072928,0.924918977374147,-0.8530074820331458,7,1,11,12,26,pmi_expandido,4,Ameaças de Violência,0.3097,4:0.31; 1:0.287; 10:0.257
sra,misogino,1.7779264594072928,1.7779264594072928,1.6180661579340925,-0.1598603014732005,7,1,6,6,13,pmi_expandido,,,0.1548,3:0.155; 11:0.148; 2:0.117
entendi,misogino,1.7779264594072923,1.7779264594072923,0.5720976027514045,-1.205828856655888,7,1,4,32,37,pmi_expandido,,,0.2977,1:0.298; 9:0.264; 6:0.256
fundo,misogino,1.7779264594072923,1.7779264594072923,0.2709925099674829,-1.5069339494398095,7,1,8,40,50,pmi_expandido,,,0.2203,10:0.22; 5:0.18; 9:0.174
nordeste,misogino,1.7779264594072923,1.7779264594072923,0.7490283109104828,-1.0288981484968098,7,1,6,25,31,pmi_expandido,,,0.1785,10:0.178; 11:0.166; 9:0.161
protetor,misogino,1.76710173709458,1.76710173709458,1.76710173709458,0.0,5,0,5,3,8,semente+pmi,,,0.1835,10:0.183; 2:0.161; 5:0.159
esgoto,misogino,1.7515975505586152,1.7515975505586152,1.7515975505586152,0.0,8,0,8,5,13,semente+pmi,,,0.096,5:0.096; 4:0.081; 10:0.054
malafaia,misogino,1.7515975505586152,1.7515975505586152,1.7515975505586152,0.0,8,0,5,8,13,pmi_expandido,,,0.1897,3:0.19; 11:0.168; 1:0.164
mulher,misogino,1.73679916798343,1.73679916798343,0.4258177174918597,-1.3109814504915702,262,39,555,831,1603,pmi_expandido,3,Assédio Sexual,0.4354,3:0.435; 2:0.412; 10:0.353
sociedade,misogino,1.7291362952378608,1.7291362952378608,0.9423781987459156,-0.7867580964919453,20,3,20,51,73,pmi_expandido,9,Neossexismo,0.4634,9:0.463; 11:0.38; 2:0.277
sitio,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,3,1,5,pmi_expandido,,,0.0666,5:0.067; 8:0.049; 3:0.033
contrariar,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,0,5,5,pmi_expandido,4,Ameaças de Violência,0.3611,4:0.361; 11:0.319; 9:0.31
lenha,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,3,2,5,pmi_expandido,,,0.2237,5:0.224; 8:0.207; 3:0.203
incubar,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,3,2,5,pmi_expandido,,,0.1919,4:0.192; 5:0.148; 7:0.04
facho,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,3,2,5,pmi_expandido,,,0.1748,10:0.175; 8:0.146; 7:0.129
vigarista,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,6,0,7,3,10,semente+pmi,11,Violência Política Digital,0.3589,11:0.359; 1:0.337; 9:0.284
marxismo,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,9,0,3,12,15,pmi_expandido,9,Neossexismo,0.4444,9:0.444; 11:0.341; 6:0.233
batom,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,,,0.1914,10:0.191; 3:0.173; 8:0.17
responsabilizar,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,,,0.2975,11:0.297; 9:0.252; 5:0.246
fuzilar,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,3,2,5,pmi_expandido,4,Ameaças de Violência,0.3703,4:0.37; 5:0.198; 1:0.194
imoral,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,6,0,6,4,10,semente+pmi,1,Descrédito,0.3908,1:0.391; 9:0.371; 11:0.287
crápula,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,6,0,10,0,10,semente+pmi,1,Descrédito,0.3035,1:0.304; 11:0.209; 3:0.203
moralista,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,5,0,5,semente+pmi,9,Neossexismo,0.5181,9:0.518; 11:0.504; 1:0.411
ingênuo,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,0,4,5,pmi_expandido,1,Descrédito,0.3926,1:0.393; 6:0.26; 2:0.254
emitir,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,1,4,5,pmi_expandido,,,0.1872,5:0.187; 4:0.178; 11:0.092
romance,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,,,0.2335,6:0.234; 9:0.208; 2:0.157
basta,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,1,4,5,pmi_expandido,,,0.0673,8:0.067; 2:0.066; 1:0.066
exercito,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,,,0.2541,11:0.254; 5:0.228; 9:0.227
pasto,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,,,0.2199,5:0.22; 10:0.182; 8:0.176
cova,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,,,0.1806,3:0.181; 8:0.178; 4:0.176
serpente,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,10,Misogynoir,0.3352,10:0.335; 2:0.316; 3:0.287
far,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,0,5,5,pmi_expandido,,,0.018,6:0.018; 3:0.007; 5:0.007
sapatona,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,3,Assédio Sexual,0.3801,3:0.38; 8:0.305; 10:0.276
cafajeste,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,5,0,5,semente+pmi,3,Assédio Sexual,0.32,3:0.32; 1:0.307; 2:0.251
asno,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,4,1,5,pmi_expandido,,,0.2237,1:0.224; 3:0.125; 10:0.123
decência,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,9,Neossexismo,0.3968,9:0.397; 11:0.364; 2:0.244
ess,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,2,3,5,pmi_expandido,,,0.0373,1:0.037; 9:0.012; 6:0.01
dino,misogino,1.726279742574325,1.726279742574325,1.726279742574325,0.0,3,0,3,2,5,pmi_expandido,,,0.0965,11:0.097; 10:0.091; 3:0.085
enganar,misogino,1.703818487253571,1.703818487253571,0.8317628102497309,-0.8720556770038403,13,2,21,30,53,pmi_expandido,4,Ameaças de Violência,0.3891,4:0.389; 1:0.318; 5:0.255
guerra,misogino,1.703818487253571,1.703818487253571,0.4713213835155216,-1.2324971037380494,13,2,18,55,76,pmi_expandido,,,0.2799,11:0.28; 9:0.265; 4:0.239
burra,misogino,1.7038184872535709,1.7038184872535709,-0.2731190914319742,-1.9769375786855448,13,2,97,60,160,semente+pmi,1,Descrédito,0.516,1:0.516; 3:0.376; 2:0.304
